IJK,IX,IY,IZ,XC,YC,ZC,__in,Au_OK,Au_ID2,Au_NN,Au_Lagrange,Au_KVar
13323,3,10,9,17.5,52.5,47.5,0.5,0.47667912,0.8258537,0.11194896,-0.069615886,0.16410139
13324,4,10,9,22.5,52.5,47.5,0.5,0.58371556,0.76357234,0.6397079,-0.012815327,0.05510688
13325,5,10,9,27.5,52.5,47.5,0.75,0.80639434,0.87310344,1.2697076,0.004178634,0.0454813
13326,6,10,9,32.5,52.5,47.5,1.0,1.3112386,1.201657,1.0061308,0.009828178,0.08443783
13327,7,10,9,37.5,52.5,47.5,1.0,1.5658891,1.4193186,1.6666137,0.013116336,0.112362646
13328,8,10,9,42.5,52.5,47.5,1.0,1.595425,1.5005637,2.7913287,0.013722853,0.11409593
13329,9,10,9,47.5,52.5,47.5,1.0,1.4633172,1.460006,1.5127181,0.012627728,0.09095821
13330,10,10,9,52.5,52.5,47.5,1.0,0.98527,0.95087874,0.74904424,0.010309291,0.05168881
13331,11,10,9,57.5,52.5,47.5,1.0,0.7283479,0.79567844,1.5135796,0.009341182,0.03446889
13332,12,10,9,62.5,52.5,47.5,1.0,0.6371578,0.7227312,0.63931876,0.0035650923,0.0657511
13333,13,10,9,67.5,52.5,47.5,1.0,0.47879016,0.5398988,0.47682196,-0.006086768,0.0995179
13334,14,10,9,72.5,52.5,47.5,1.0,0.41198602,0.4783729,0.3809295,-0.0064142644,0.10689037
13335,15,10,9,77.5,52.5,47.5,0.75,0.38968983,0.4442081,0.34528145,-0.0055611995,0.095026955
13336,16,10,9,82.5,52.5,47.5,0.5,0.32417122,0.43088228,0.4157376,-0.0068518864,0.09398843
13337,17,10,9,87.5,52.5,47.5,0.5,0.2900797,0.42104456,0.4157376,-0.009839301,0.13888751
13338,18,10,9,92.5,52.5,47.5,0.25,0.2605684,0.4894774,0.14639364,-0.015338909,0.21376903
13356,0,11,9,2.5,57.5,47.5,0.5,,,,,
13357,1,11,9,7.5,57.5,47.5,0.5,0.4247467,0.7899922,0.11194896,-0.19442582,0.5148032
13358,2,11,9,12.5,57.5,47.5,0.5,0.43160105,0.81051993,0.11194896,-0.1413581,0.3606815
13359,3,11,9,17.5,57.5,47.5,0.5,0.38722998,0.84450835,0.11194896,-0.04250638,0.19751821
13360,4,11,9,22.5,57.5,47.5,0.5,0.5247928,0.85735476,0.6397079,-0.013864874,0.11276742
13361,5,11,9,27.5,57.5,47.5,0.625,0.72455865,0.8685144,1.2697076,0.0035894644,0.09591537
13362,6,11,9,32.5,57.5,47.5,0.875,1.2898866,1.2091168,1.0061308,0.0247725,0.1197632
13363,7,11,9,37.5,57.5,47.5,1.0,1.5258029,1.4241688,1.6666137,0.026778897,0.13816978
13364,8,11,9,42.5,57.5,47.5,1.0,1.5514187,1.471113,2.7913287,0.024283458,0.13911614
13365,9,11,9,47.5,57.5,47.5,1.0,1.4325787,1.427919,1.5127181,0.024427643,0.12341931
13366,10,11,9,52.5,57.5,47.5,1.0,0.9704761,0.935628,0.74904424,0.02291828,0.10020293
13367,11,11,9,57.5,57.5,47.5,1.0,0.7035381,0.73171824,1.5135796,0.021868812,0.09197602
13368,12,11,9,62.5,57.5,47.5,1.0,0.6436757,0.6987596,0.63931876,0.024848726,0.10780835
13369,13,11,9,67.5,57.5,47.5,1.0,0.48399898,0.53934723,0.47682196,-0.014080771,0.13966778
13370,14,11,9,72.5,57.5,47.5,1.0,0.40509856,0.48406535,0.3809295,0.007577507,0.13680123
13371,15,11,9,77.5,57.5,47.5,0.75,0.38902092,0.4563154,0.34528145,0.006266677,0.13219191
13372,16,11,9,82.5,57.5,47.5,0.5,0.35153255,0.46586555,0.4157376,-0.014961006,0.14533666
13373,17,11,9,87.5,57.5,47.5,0.5,0.26021627,0.4623569,0.4157376,0.006735308,0.17550787
13374,18,11,9,92.5,57.5,47.5,0.25,0.20565292,0.5241258,0.14639364,-0.0016897494,0.23292096
13392,0,12,9,2.5,62.5,47.5,0.375,,,,,
13393,1,12,9,7.5,62.5,47.5,0.5,,,,,
13394,2,12,9,12.5,62.5,47.5,0.5,0.4569869,0.81863916,0.11194896,-0.22037187,0.4399652
13395,3,12,9,17.5,62.5,47.5,0.5,0.4289483,0.8588822,0.11194896,-0.047014967,0.25153917
13396,4,12,9,22.5,62.5,47.5,0.5,0.56901646,0.8638179,0.6397079,-0.0013193244,0.18038188
13397,5,12,9,27.5,62.5,47.5,0.5,0.815367,0.8835186,1.2697076,0.021057647,0.15971446
13398,6,12,9,32.5,62.5,47.5,0.75,1.237096,1.2163502,1.0061308,0.032660652,0.16720134
13399,7,12,9,37.5,62.5,47.5,1.0,1.4377496,1.4065194,1.6666137,0.037193473,0.17609215
13400,8,12,9,42.5,62.5,47.5,1.0,1.4802247,1.43684,2.7913287,0.03454343,0.1759575
13401,9,12,9,47.5,62.5,47.5,1.0,1.3878583,1.3738874,1.5127181,0.031725768,0.1677377
13402,10,12,9,52.5,62.5,47.5,1.0,0.94901377,0.90963215,0.74904424,0.03105957,0.15675953
13403,11,12,9,57.5,62.5,47.5,1.0,0.6786799,0.71340823,1.5135796,0.029703056,0.15415232
13404,12,12,9,62.5,62.5,47.5,1.0,0.6323384,0.6727102,0.63931876,0.034256104,0.16059688
13405,13,12,9,67.5,62.5,47.5,1.0,0.46609056,0.5239888,0.47682196,0.027293958,0.17070371
13406,14,12,9,72.5,62.5,47.5,0.875,0.43240282,0.49365175,0.3809295,0.024420107,0.17658584
13407,15,12,9,77.5,62.5,47.5,0.625,0.4059708,0.4758291,0.34528145,0.020832792,0.18149473
13408,16,12,9,82.5,62.5,47.5,0.5,0.33032852,0.48626524,0.4157376,0.008631643,0.20108266
13409,17,12,9,87.5,62.5,47.5,0.5,0.29036617,0.49226058,0.4157376,0.010032317,0.22601998
13410,18,12,9,92.5,62.5,47.5,0.25,0.22898082,0.56589216,0.14639364,0.0004921721,0.2677451
13428,0,13,9,2.5,67.5,47.5,0.125,,,,,
13429,1,13,9,7.5,67.5,47.5,0.375,,,,,
13430,2,13,9,12.5,67.5,47.5,0.5,0.43325832,0.81449795,0.11194896,-0.11713308,0.4157448
13431,3,13,9,17.5,67.5,47.5,0.5,0.4358792,0.87739265,0.11194896,-0.04512821,0.3023535
13432,4,13,9,22.5,67.5,47.5,0.5,0.5619252,0.8845634,0.6397079,-0.0003671185,0.23757766
13433,5,13,9,27.5,67.5,47.5,0.5,0.74975663,0.90443987,1.2697076,0.030731982,0.21254273
13434,6,13,9,32.5,67.5,47.5,0.75,1.1061769,1.1920617,1.0061308,0.045763917,0.21038228
13435,7,13,9,37.5,67.5,47.5,1.0,1.2855642,1.3508297,1.6666137,0.051723607,0.21184573
13436,8,13,9,42.5,67.5,47.5,1.0,1.3810238,1.3779451,2.7913287,0.042606924,0.20919853
13437,9,13,9,47.5,67.5,47.5,1.0,1.3294508,1.3110727,1.5127181,0.03711859,0.20533493
13438,10,13,9,52.5,67.5,47.5,1.0,0.9267112,0.8859762,0.74904424,0.03491399,0.20159638
13439,11,13,9,57.5,67.5,47.5,1.0,0.6589065,0.699684,1.5135796,0.03303572,0.2032152
13440,12,13,9,62.5,67.5,47.5,1.0,0.62659436,0.6430778,0.63931876,0.04314136,0.20275421
13441,13,13,9,67.5,67.5,47.5,1.0,0.49615443,0.52589494,0.47682196,0.036050152,0.20982562
13442,14,13,9,72.5,67.5,47.5,0.75,0.44774157,0.5200302,0.3809295,0.03694709,0.22005166
13443,15,13,9,77.5,67.5,47.5,0.5,0.40691054,0.48966545,0.34528145,0.042870935,0.23033464
13444,16,13,9,82.5,67.5,47.5,0.5,0.40127963,0.49351248,0.4157376,0.011487993,0.26391792
13445,17,13,9,87.5,67.5,47.5,0.375,0.3351098,0.4986545,0.4157376,0.009724502,0.27714285
13446,18,13,9,92.5,67.5,47.5,0.125,0.26628858,0.5666805,0.14639364,0.0008688165,0.3065426
13465,1,14,9,7.5,72.5,47.5,0.125,,,,,
13466,2,14,9,12.5,72.5,47.5,0.375,0.39921457,0.7874439,0.11194896,-0.101861015,0.44227093
13467,3,14,9,17.5,72.5,47.5,0.5,0.42124617,0.90580094,0.11194896,-0.046731252,0.34322056
13468,4,14,9,22.5,72.5,47.5,0.5,0.55038583,0.87363416,0.6397079,-0.002283544,0.2790958
13469,5,14,9,27.5,72.5,47.5,0.5,0.71809554,0.8896989,1.2697076,0.029758174,0.24745904
13470,6,14,9,32.5,72.5,47.5,0.625,1.0330589,1.1384985,1.0061308,0.047045626,0.23667341
