BHID,AT,AZ,DIP
B-576,0,3.14,-25
B-576,27.43,3.14,-25
E-046,0,342.31,-50
E-046,30.48,342.31,-42
E-046,91.44,342.31,-35.5
E-046,182.88,342.31,-28.5
E-133,0,22.31,-50
E-133,100.58,22.31,-39
E-364,0,183.31,-50
E-364,60.96,183.14,-58
E-364,121.92,183.14,-50
E-364,182.88,183.14,-48
P-338,0,342.14,37
P-338,12.19,342.14,37
