BHID,DIP,AT,AZ
14976,66,203.6,3.9
14976,65,234.08,4.06
14976,64.5,281.33,4.31
14976,64,386.48,7.02
14976,63,397.76,7.81
14977,75,0,2.31
14977,76,87.78,360.53
14977,75.5,122.83,359.81
14977,75,173.12,360.75
14977,75,240.18,361.99
14977,76,284.37,2.81
14977,76,394.1,359.81
14977,76,395.63,359.36
14977,76,395.78,359.31
14978,65,0,182.31
14978,65,14.63,182.31
14978,64,39.01,182.31
14978,63,57.3,182.31
14978,62,75.59,182.31
14978,60.5,130.45,182.31
14978,60,173.12,182.31
14978,59,191.41,182.31
14978,58,270.66,182.31
14978,57,313.33,182.31
14978,55,343.81,182.31
14978,54,368.19,182.31
15,36,0,353.31
15,37,30.48,353.31
15,-35,60.96,353.31
15,-31,91.44,353.31
15025,49,0,182.31
15025,49,14.63,182.31
15025,48,39.01,182.31
15025,47,142.64,182.31
15025,46,185.31,182.31
15026,50,0,182.31
15026,50,112.16,191.81
15026,49,136.55,191.81
15026,48,185.31,191.81
15026,47,231.03,195.31
15026,46,264.56,195.31
15273,60,0,361.96
15273,59,18.28,360.81
15273,58,36.57,360.51
15273,59.5,103.63,359.72
15273,53,149.35,359.31
15273,52.5,225.55,4.21
15273,51.5,304.8,362.11
15273,52,335.28,360.64
15273,52,341.37,360.51
15273,51,344.42,360.44
15273,51,350.52,360.31
15273,51,356.61,360.17
15273,51,362.71,360.04
15273,50,368.8,359.9
15273,50,374.9,359.77
15273,50,381,359.63
15273,50,387.09,359.5
15273,49,395.63,359.91
15274,44,0,361.61
15274,44.5,42.67,4.61
15274,38.5,158.49,3.31
15274,45,182.88,361.31
15274,38.5,225.55,361.31
15274,34.5,277.36,3.91
15275,65,0,182.53
15275,66,15.24,182.97
15275,66,21.33,183.24
15275,65,27.43,183.5
15275,66,33.52,183.76
15275,66,39.62,184.03
15275,65,45.72,184.29
15275,65,51.81,184.56
15275,63,57.91,184.82
15275,64,64,185.09
15275,63,70.1,185.35
15275,62,76.2,185.61
15275,63,82.29,185.88
15275,62,88.39,186.14
15275,62,94.48,186.41
15275,62,100.58,186.67
15275,61,106.68,186.93
15275,62,112.77,187.2
15275,62,118.87,187.46
15275,61,124.96,187.73
15275,61,131.06,187.99
15275,61,137.16,188.26
15275,61,143.25,188.52
15275,61,149.35,188.78
15275,61,155.44,189.05
15275,62,161.54,190.11
15275,61,167.64,189.06
15275,60,173.73,188.81
15275,59,179.83,188.56
15275,59,185.92,188.31
15275,58,192.02,188.06
15275,57,198.12,187.81
15275,58,204.21,187.56
15275,58,210.31,187.31
15275,58,216.4,187.06
15275,58,222.5,186.81
15275,58,228.6,186.56
15275,60,234.69,186.31
15275,58,240.79,186.24
15275,58,246.88,186.17
15275,57,252.98,186.1
15275,56,259.08,186.04
15275,56,265.17,185.97
15275,57,271.27,185.9
15275,56,277.36,185.83
15275,57,283.46,185.76
15275,56,289.56,185.69
15275,55,295.65,185.62
15275,55,301.75,185.55
15275,55,307.84,185.48
15275,55,313.94,185.42
15275,56,323.08,185.91
15275,56,329.18,185.52
15275,55,335.28,185.73
15275,54,341.37,185.94
15275,53,347.47,186.15
15275,51,356.61,186.47
15275,52,362.71,186.68
15275,51,371.85,187
15275,51,377.95,187.21
15275,53.5,381,188.01
15275,50,384.04,187.28
15275,50,390.14,187.23
15275,50,396.24,187.18
15275,50,402.33,187.12
15275,50,408.43,187.07
15275,50,414.52,187.02
15275,49,420.62,186.96
15275,50,426.72,186.91
15275,50,432.81,186.86
15275,49,438.91,186.8
15275,49,445,186.75
15275,49,451.1,186.69
15275,48,457.2,186.64
15275,48,463.29,186.59
15275,48,469.39,186.53
15275,48,475.48,186.48
15275,47,481.58,186.43
15275,47,487.68,186.37
15275,47,493.77,186.32
15275,48,494.53,186.31
15276,59,0,182.28
15276,60,12.19,181.48
15276,60,15.24,181.52
15276,60,21.33,181.6
15276,60,24.38,181.65
15276,60,30.48,181.73
15276,60,36.57,181.81
15276,60,42.67,181.9
15276,60,51.81,182.02
15276,60,60.96,182.15
15276,59,67.05,182.23
15276,61.5,73.15,182.91
15276,60,76.2,182.4
15276,59,82.29,182.58
15276,59,88.39,182.77
15276,59,94.48,182.95
15276,58,100.58,183.13
15276,59,106.68,183.31
15276,58,112.77,183.49
15276,58,121.92,183.77
15276,58,128.01,183.95
15276,57,134.11,184.13
15276,58,140.2,184.31
15276,57,146.3,184.49
15276,57,152.4,184.68
15276,57,158.49,184.86
15276,56,164.59,185.04
15276,57,170.68,185.22
15276,56,176.78,185.4
15276,56,182.88,185.58
15276,55,188.97,185.77
15276,54,195.07,185.95
15276,54,204.21,186.22
15276,54,210.31,186.4
15276,53,216.4,186.58
15276,53,222.5,186.77
15276,53,228.6,186.95
15276,53,234.69,187.13
15276,53,240.79,187.31
15276,53,246.88,187.22
15276,52,252.98,187.13
15276,54,259.08,187.04
15276,54,265.17,186.94
15276,54,271.27,186.85
15276,53,277.36,186.76
15276,54,283.46,186.67
15276,54,289.56,186.58
15276,53,295.65,186.48
15276,53,301.75,186.39
15276,53,307.84,186.3
15276,53,313.94,186.21
15276,53,320.04,186.12
15276,52,326.13,186.02
15276,52,332.23,185.93
15276,52,338.32,185.84
15276,52,344.42,185.75
15276,49,373.38,185.91
15276,47,423.67,183.11
15277,59,0,183.34
15277,55,21.33,184.58
15277,55,27.43,184.95
15277,55,33.52,185.31
15277,54,42.67,185.86
15277,54,48.76,186.22
15277,54,54.86,186.58
15277,54,57.91,186.77
15277,54,64,187.13
15277,54,70.1,187.49
15277,54,76.2,187.86
15277,53,82.29,188.22
15277,53,88.39,188.58
15277,53,94.48,188.95
15277,53.4,100.58,189.31
15277,53,103.63,189.27
15277,53,109.72,189.19
15277,50,176.78,188.32
15277,51,179.83,188.28
15277,50,185.92,188.2
15277,49,192.02,188.12
15277,49,198.12,188.04
15277,48,204.21,187.96
15277,48,210.31,187.88
15277,47,216.4,187.8
15277,45,228.6,187.64
15277,44,234.69,187.56
15277,45,240.79,187.48
15277,45,246.88,187.4
15277,45,252.98,187.32
15277,46,253.89,187.31
15277,44,259.08,187.02
15277,44,265.17,186.67
15277,44,271.27,186.32
15277,43,274.32,186.14
15277,43,280.41,185.8
15277,44,286.51,185.45
15277,43,292.6,185.1
15277,43,298.7,184.75
15277,44,304.8,184.4
15277,43,310.89,184.05
15277,42,316.99,183.71
15277,43,323.08,183.36
15277,39,329.18,183.01
15277,39,338.32,182.49
15277,40.7,341.37,183.01
15277,39,347.47,182.31
15277,39,353.56,182.31
15277,39,362.71,182.31
15277,38,368.8,182.31
15277,39,374.9,182.31
15277,38,381,182.31
15277,38,387.09,182.31
15277,38,393.19,182.31
15277,38,399.28,182.31
15277,37,405.38,182.31
15277,37,411.48,182.31
15277,37,417.57,182.31
15277,37,423.67,183.01
16,45,0,173.31
16,48,30.48,173.31
16,44,60.96,173.31
16037,67,0,360.94
16037,67,30.48,361.89
16037,67,60.96,2.83
16037,66,118.56,4.61
16037,65,121.92,4.55
16037,65,182.88,3.37
16037,66,222.19,2.61
16037,64,304.8,7.72
16037,64.5,306.32,7.81
16037,62,365.76,5.41
16037,64.2,405.38,3.81
16037,64,426.72,4.68
16037,61.5,487.68,7.15
16037,64.12,489.2,7.21
16038,67.25,0,361.43
16038,68,30.48,361.13
16038,68,118.87,360.25
16038,67.3,131.06,360.13
16038,68,152.4,361.07
16038,66,213.36,3.76
16038,64.8,231.64,4.56
16038,62,274.32,4.45
16038,62.7,327.66,4.31
16038,61.5,335.28,4.42
16038,61,396.24,5.28
16038,62.5,413,5.51
16038,60,457.2,7.75
16038,61.5,466.34,8.21
16039,67.78,0,4.04
16039,66,30.48,3.34
16039,65,91.44,361.95
16039,66.4,92.96,361.91
16039,64.5,152.4,2.76
16039,66,204.21,3.51
16039,64.5,213.36,3.64
