wt,x,y,z
0.0750304311514,2299276.5,423612.28125,1189.03820801
0.0943052917719,2299274.0,423616.40625,1180.29199219
0.0927110090852,2299279.0,423608.125,1197.78442383
0.0774582847953,2299400.75,423441.5625,1047.03540039
0.0963600724936,2299398.5,423445.9375,1038.37512207
0.0966457054019,2299403.25,423437.1875,1055.69567871
0.0733496323228,2298900.75,423449.65625,1269.14294434
0.0924508348107,2298898.5,423453.3125,1260.1550293
0.0910467728972,2298903.25,423445.96875,1278.13085938
0.0596932321787,2299198.25,423732.34375,1285.46777344
0.0759817436337,2299195.5,423736.6875,1276.85595703
0.0749669894576,2299200.75,423727.9375,1294.07495117
