,BHID,FROM,TO,LITHO_DESC
47924,18084,14.09,18.22,Intermediate to Ultramafic Volcanics
47925,18084,18.22,20.16,Early Diorite
47926,18084,20.16,28.81,Intermediate to Ultramafic Volcanics
47927,18084,28.81,30.32,Shear Zone
47928,18084,30.32,39.01,Intermediate to Ultramafic Volcanics
47929,18085,0.0,17.76,Casing
47930,18085,17.76,24.09,Felsic to Intermediate Dykes
47931,18085,24.09,42.0,Intermediate to Ultramafic Volcanics
47932,18086,0.0,10.02,Casing
47933,18086,10.02,27.2,Early Diorite
47934,18086,27.2,28.98,Felsic to Intermediate Dykes
47935,18086,28.98,30.38,Shear Zone
47936,18086,30.38,32.59,Felsic to Intermediate Dykes
47937,18086,32.59,39.01,Early Diorite
47938,18087,0.0,13.1,Casing
47939,18087,13.1,18.59,Intermediate to Ultramafic Volcanics
47940,18087,18.59,22.82,Felsic to Intermediate Dykes
47941,18087,22.82,28.37,Intermediate to Ultramafic Volcanics
47942,18087,28.37,32.0,Felsic to Intermediate Dykes
47943,18087,32.0,32.12,Quartz-Tourmaline Veins
47944,18087,32.12,59.74,Intermediate to Ultramafic Volcanics
47945,18088,0.0,8.07,Casing
47946,18088,8.07,36.75,Early Diorite
47947,18088,36.75,39.59,Intermediate to Ultramafic Volcanics
47948,18088,39.59,40.27,Felsic to Intermediate Dykes
47949,18088,40.27,41.58,Intermediate to Ultramafic Volcanics
47950,18088,41.58,42.0,Felsic to Intermediate Dykes
47951,18088,42.0,45.49,Intermediate to Ultramafic Volcanics
47952,18088,45.49,56.78,Felsic to Intermediate Dykes
47953,18088,56.78,57.63,Intermediate to Ultramafic Volcanics
47954,18088,57.63,58.76,Early Diorite
47955,18088,58.76,59.19,Intermediate to Ultramafic Volcanics
47956,18088,59.19,60.01,Early Diorite
47957,18089,0.0,9.72,Casing
47958,18089,9.72,22.43,Early Diorite
47959,18089,22.43,24.29,Intermediate to Ultramafic Volcanics
47960,18089,24.29,28.86,Intermediate to Ultramafic Volcanics
47961,18089,28.86,29.79,Early Diorite
47962,18089,29.79,32.46,Early Diorite
47963,18089,32.46,48.0,Early Diorite
48143,18098,0.0,4.4,Casing
48144,18098,4.4,6.06,Diorite
48145,18098,6.06,22.25,Intermediate to Ultramafic Volcanics
48146,18098,22.25,28.49,Early Diorite
48147,18098,28.49,33.0,Diorite
48148,18098,33.0,34.7,Early Diorite
48149,18098,34.7,35.99,Intermediate to Ultramafic Volcanics
48150,18098,35.99,38.05,Early Diorite
48151,18098,38.05,50.52,Intermediate to Ultramafic Volcanics
48152,18098,50.52,52.5,Intermediate to Ultramafic Volcanics
48153,18098,52.5,57.22,Intermediate to Ultramafic Volcanics
48154,18098,57.22,60.01,Intermediate to Ultramafic Volcanics
48155,18099,0.0,7.31,Casing
48156,18099,7.31,23.16,Intermediate to Ultramafic Volcanics
48157,18099,23.16,25.2,Early Diorite
48158,18099,25.2,49.48,Intermediate to Ultramafic Volcanics
48159,18099,49.48,55.36,Early Diorite
48160,18099,55.36,56.92,Diorite
48161,18099,56.92,56.99,Early Diorite
48185,18100,0.0,9.38,Casing
48186,18100,9.38,22.52,Early Diorite
48187,18100,22.52,33.0,Intermediate to Ultramafic Volcanics
48188,18101,0.0,3.91,Casing
48189,18101,3.91,21.33,Intermediate to Ultramafic Volcanics
48190,18101,21.33,23.98,Diorite
48191,18102,0.0,10.05,Casing
48192,18102,10.05,17.89,Early Diorite
48193,18102,17.89,34.85,Intermediate to Ultramafic Volcanics
48194,18102,34.85,39.39,Intermediate to Ultramafic Volcanics
48195,18102,39.39,40.17,Diorite
48196,18102,40.17,41.62,Intermediate to Ultramafic Volcanics
48197,18102,41.62,46.29,Diorite
48198,18102,46.29,54.04,Intermediate to Ultramafic Volcanics
48199,18103,0.0,3.35,Casing
48200,18103,3.35,6.03,Intermediate to Ultramafic Volcanics
48201,18103,6.03,16.5,Felsic to Intermediate Dykes
48202,18103,16.5,16.85,Quartz-Tourmaline Veins
48203,18103,16.85,21.0,Intermediate to Ultramafic Volcanics
48204,18104,0.0,4.17,Casing
48205,18104,4.17,47.13,Intermediate to Ultramafic Volcanics
48206,18104,47.13,51.81,Early Diorite
