,BHID,XCOLLAR,YCOLLAR,ZCOLLAR,AZ_UTM,DIP,LENGTH_M,NO_DATA,DOUBTFUL_C
9194,17959,294617.19,5331165.05,313.87,2.31,-45.0,71.99,,
9200,17964,294643.25,5331218.9,310.73,182.31,-85.0,50.99,,
9201,17965,294650.42,5331195.67,313.43,182.31,-84.0,50.5,,
9211,17974,294475.01,5331047.42,315.26,2.31,-90.0,54.01,,
9212,17975,294477.84,5331114.5,314.65,2.31,-90.0,60.04,,
9213,17976,294480.18,5331172.36,314.34,2.31,-90.0,54.01,,
9214,17977,294419.29,5331028.25,313.38,2.31,-90.0,60.04,,
9215,17978,294489.48,5331067.9,314.59,2.31,-90.0,60.01,,
9216,17979,294367.41,5331105.54,315.43,2.31,-90.0,60.01,,
9218,17980,294365.72,5331060.92,315.2,2.31,-90.0,60.01,,
9219,17981,294504.07,5331091.03,314.62,2.31,-90.0,42.0,,
9220,17982,294507.1,5331159.07,315.56,2.31,-90.0,48.0,,
9221,17983,294532.48,5331107.47,316.45,2.31,-90.0,48.0,,
9222,17984,294533.37,5331133.65,314.94,2.31,-90.0,54.01,No_Assay,
9223,17985,294557.73,5331053.3,314.65,2.31,-90.0,60.01,,
9224,17986,294558.77,5331079.19,314.65,2.31,-90.0,48.0,,
9225,17987,294311.09,5331063.42,316.72,2.31,-90.0,60.01,,
9226,17988,294312.16,5331093.8,315.49,2.31,-90.0,60.04,,
9227,17989,294243.65,5331075.25,321.71,2.31,-90.0,60.01,,
9231,17992,294733.45,5331215.82,317.11,182.31,-85.0,44.98,,
9232,17993,294732.35,5331184.01,317.75,182.31,-85.0,48.0,,
9233,17994,294696.16,5331195.2,317.08,182.31,-56.0,27.49,No_Assay,
9234,17995,294815.63,5331321.66,309.93,2.31,-45.0,75.01,,
9235,17996,294821.64,5331282.11,312.83,2.31,-45.0,74.49,,
9236,17997,294810.95,5331244.94,313.87,2.31,-45.0,71.96,,
9239,18,294840.2,5331013.4,317.63,353.31,-35.0,151.02,,
9249,18007,294700.45,5331230.94,315.49,2.31,-45.0,90.0,,
9250,18008,294482.23,5331246.72,311.73,2.31,-45.0,96.01,,
9251,18009,294483.34,5331288.15,310.38,2.31,-45.0,88.39,,
9253,18010,294485.25,5331335.36,309.77,2.31,-45.0,90.0,No_Assay,
9254,18011,294486.57,5331379.93,308.6,2.31,-45.0,90.0,,
9255,18012,294262.4,5331255.91,309.46,2.31,-45.0,89.91,,
9256,18013,294264.82,5331307.0,309.8,2.31,-45.0,90.0,,
9257,18014,294267.2,5331350.59,308.32,2.31,-45.0,92.65,,
9260,18018,294817.55,5331405.8,308.85,2.31,-45.0,90.0,,
9261,18019,294696.72,5331212.74,315.54,182.31,-85.0,47.7,,
9263,18020,294695.85,5331187.43,317.08,182.31,-84.0,48.0,,
9267,18024,294619.43,5331221.33,311.6,182.31,-82.0,50.29,,
9268,18025,294618.78,5331205.19,311.6,182.31,-82.0,42.48,,
9269,18026,294416.11,5331059.03,314.95,182.31,-45.0,90.0,,
9270,18027,294548.13,5331173.58,312.88,182.31,-45.0,75.01,,
9271,18028,294619.15,5331104.12,314.62,2.31,-90.0,32.49,,
9277,18033,294531.93,5331094.31,314.95,2.31,-90.0,21.0,,
9278,18034,294531.44,5331082.13,314.65,2.31,-90.0,18.98,,
9279,18035,294504.83,5331103.03,314.65,2.31,-90.0,18.01,No_Assay,
9280,18036,294491.6,5331100.21,314.65,2.31,-90.0,20.42,,
9281,18037,294463.49,5331099.21,314.65,2.31,-90.0,21.0,,
9282,18038,294559.35,5331093.51,314.65,2.31,-90.0,21.0,,
9283,18039,294486.12,5331093.11,314.65,182.31,-47.0,77.96,,
9285,18040,294464.55,5331125.41,314.65,182.31,-45.0,63.48,,
9294,18049,294489.76,5331069.78,314.65,182.31,-45.0,44.98,,
9296,18050,293917.87,5331186.13,314.54,182.31,-58.0,61.69,,
9297,18051,294391.2,5331126.19,314.23,182.31,-45.0,54.01,,
9298,18052,294390.22,5331099.89,314.87,182.31,-45.0,54.01,,
9299,18053,294418.13,5331108.78,314.24,182.31,-45.0,44.98,,
9300,18054,294445.79,5331112.05,313.8,182.31,-45.0,54.01,,
9301,18055,294439.8,5331086.66,314.89,2.31,-90.0,35.99,No_Assay,
9302,18056,294430.95,5331081.8,314.34,2.31,-90.0,35.38,,
9303,18057,294462.51,5331096.62,314.28,182.31,-45.0,65.98,,
9310,18063,294788.08,5331319.51,312.02,2.31,-45.0,92.99,,
9311,18064,294815.94,5331342.72,310.1,2.31,-50.0,63.0,,
9312,18065,294840.02,5331323.15,313.86,2.31,-45.0,91.74,,
9313,18066,294786.4,5331450.81,309.54,2.31,-45.0,93.57,,
9314,18067,294819.73,5331446.8,308.94,2.31,-45.0,98.14,,
9316,18069,294847.08,5331459.95,313.13,2.31,-45.0,96.98,,
9317,18069A,294845.66,5331459.57,314.65,2.31,-45.0,48.49,,
9320,18071,294418.28,5331112.64,314.65,2.31,-90.0,23.98,,
9321,18072,294418.28,5331112.64,314.65,182.31,-65.0,44.98,,
9322,18073,294673.3,5331210.79,314.99,2.31,-72.0,29.99,,
9323,18074,294670.81,5331187.65,315.32,2.31,-78.0,29.99,,
9324,18075,294669.76,5331177.44,315.12,182.31,-55.0,21.0,No_Assay,
9325,18076,294700.3,5331204.82,315.48,2.31,-75.0,35.99,,
9326,18077,294698.24,5331181.05,316.03,2.31,-75.0,35.99,,
9327,18078,294696.33,5331161.72,316.01,182.31,-64.0,27.0,,
9328,18079,294732.68,5331210.43,316.03,2.31,-90.0,48.0,,
9330,18080,294730.47,5331182.8,316.28,182.31,-86.0,44.98,,
9331,18081,294729.77,5331172.45,316.21,182.31,-58.0,29.99,,
9332,18082,294758.46,5331189.96,316.19,2.31,-45.0,44.98,,
9333,18083,294757.18,5331173.54,316.43,2.31,-45.0,63.0,,
9334,18084,294756.84,5331169.56,316.35,182.31,-58.0,39.01,,
9335,18085,294781.91,5331191.45,315.04,2.31,-45.0,42.0,,
9336,18086,294779.24,5331166.76,315.87,182.31,-68.0,39.01,,
9337,18087,294809.78,5331187.37,316.36,2.31,-45.0,59.74,,
9338,18088,294806.66,5331165.35,316.84,2.31,-45.0,60.01,,
9339,18089,294805.25,5331153.78,316.8,182.31,-55.0,48.0,,
9349,18098,294545.43,5331108.92,314.96,182.31,-45.0,60.01,,
9350,18099,294547.61,5331145.66,314.8,182.31,-45.0,56.99,,
9353,18100,294544.78,5331062.13,315.04,2.31,-45.0,33.0,,
9354,18101,294529.06,5331105.59,314.9,182.31,-60.0,23.98,No_Assay,
9355,18102,294525.87,5331063.01,314.86,2.31,-45.0,54.04,,
9356,18103,294522.05,5331010.79,315.65,2.31,-80.0,21.0,,
9357,18104,294516.29,5330991.32,318.22,2.31,-90.0,65.98,No_Assay,
9358,18105,294489.8,5331073.87,315.02,2.31,-45.0,60.01,,
9359,18106,294487.78,5331034.6,315.26,2.31,-78.0,48.0,,
9360,18107,294472.02,5331080.02,314.98,2.31,-45.0,48.0,,
9361,18108,294453.22,5331088.83,314.95,182.31,-45.0,29.99,,
9362,18109,294444.57,5331092.84,314.95,2.31,-45.0,35.99,,
9364,18110,294433.36,5331068.52,315.54,2.31,-50.0,71.99,,
9365,18111,294433.02,5331036.72,314.97,2.31,-60.0,54.01,,
9367,18112,294433.01,5331031.84,314.94,182.31,-45.0,90.0,,
9369,18113,294417.53,5331094.06,314.94,182.31,-58.0,29.99,,
9370,18114,294415.53,5331044.72,315.26,182.31,-86.0,54.01,,
9371,18115,294414.88,5331026.32,315.51,182.31,-45.0,75.01,,
9372,18116,294408.45,5331095.64,315.09,2.31,-45.0,33.0,,
9373,18117,294480.25,5331171.96,312.41,182.31,-55.0,81.07,,
9374,18118,294406.18,5331032.9,315.33,2.31,-45.0,54.01,,
9375,18119,294405.86,5331027.33,315.56,182.31,-45.0,54.01,,
9377,18120,294389.58,5331088.78,315.51,2.31,-45.0,35.99,,
9378,18121,294389.13,5331059.39,315.03,2.31,-45.0,50.99,,
9379,18122,294381.1,5331088.06,315.17,2.31,-45.0,44.98,,
9380,18123,294383.03,5331146.09,314.65,182.31,-45.0,48.0,,
9381,18124,294369.24,5331133.44,314.58,182.31,-56.0,33.0,,
9382,18125,294367.04,5331090.3,315.87,2.31,-45.0,33.0,,
9383,18126,294364.92,5331037.92,315.56,2.31,-45.0,42.0,,
9384,18127,294478.71,5331136.12,313.12,182.31,-55.0,56.38,,
9385,18128,294364.13,5331018.12,315.78,182.31,-45.0,90.0,,
9386,18129,294292.21,5331164.19,308.45,182.31,-52.0,54.01,,
9388,18130,294292.03,5331155.9,310.47,2.31,-45.0,56.69,,
9389,18131,294290.96,5331127.68,314.93,182.31,-45.0,44.98,,
9390,18132,294289.78,5331103.19,314.65,182.31,-62.0,48.0,,
9391,18133,294286.69,5331048.07,319.01,182.31,-45.0,92.99,,
9392,18134,294287.84,5331033.47,318.63,2.31,-45.0,63.0,,
9393,18135,294230.9,5331157.58,309.35,2.31,-45.0,63.09,,
9394,18136,294146.59,5331127.47,311.56,2.31,-45.0,63.7,,
9395,18137,294146.59,5331127.47,311.56,2.31,-70.0,60.01,,
9396,18138,294146.64,5331060.17,321.07,2.31,-45.0,98.14,,
9397,18139,294147.78,5331082.41,321.12,182.31,-45.0,96.01,,
9421,18160,294596.6,5331340.03,311.81,2.31,-45.0,92.5,,
9422,18161,294596.82,5331386.97,308.39,2.31,-45.0,92.65,,
9423,18162,294600.33,5331426.18,308.28,2.31,-45.0,92.65,,
9424,18163,294372.38,5331274.34,314.65,2.31,-45.0,62.51,,
9425,18164,294373.48,5331300.74,309.76,2.31,-45.0,92.5,,
9426,18165,294375.56,5331346.75,308.97,2.31,-45.0,92.5,,
9427,18166,294377.18,5331391.43,308.34,2.31,-45.0,93.57,,
9428,18167,294152.78,5331240.55,309.06,2.31,-45.0,94.48,,
9429,18168,294155.13,5331285.84,308.28,2.31,-45.0,92.5,,
9430,18169,294157.24,5331332.52,308.09,2.31,-45.0,92.5,,
9432,18170,294158.07,5331378.03,308.02,2.31,-45.0,92.65,No_Assay,
9433,18171,294651.84,5331355.16,311.52,2.31,-45.0,92.04,,
9434,18172,294650.05,5331307.85,311.91,2.31,-45.0,92.5,,
9435,18173,294808.51,5331306.81,312.24,2.31,-45.0,91.98,,
9438,18176,294151.33,5331210.62,309.09,2.31,-45.0,85.49,,
9439,18177,294671.31,5331224.94,314.85,182.31,-70.0,75.01,,
9440,18178,294686.82,5331224.49,315.19,182.31,-70.0,60.01,,
9441,18179,294685.5,5331209.75,315.44,2.31,-70.0,48.0,,
9443,18180,294714.21,5331226.65,316.63,182.31,-75.0,60.01,,
9444,18181,294713.4,5331205.79,315.8,2.31,-65.0,84.0,,
9446,18183,294868.18,5331434.87,313.35,2.31,-45.0,98.14,,
9448,18185,294700.44,5331221.87,315.87,182.31,-70.0,71.99,,
9449,18186,294730.42,5331272.24,311.96,182.31,-60.0,113.99,,
9450,18187,294751.31,5331227.4,313.12,182.31,-70.0,71.99,,
9451,18188,294756.2,5331205.88,316.25,2.31,-65.0,48.03,,
9452,18189,294780.41,5331225.89,313.97,182.31,-65.0,61.99,,
9454,18190,294785.51,5331195.24,315.06,2.31,-65.0,63.0,,
9455,18191,294807.16,5331220.66,314.01,182.31,-70.0,80.98,,
9456,18192,294806.28,5331193.49,316.14,2.31,-65.0,56.99,,
9457,18193,294809.65,5331169.71,316.71,182.31,-75.0,56.99,,
9458,18194,294835.1,5331206.11,316.12,182.31,-70.0,77.72,,
9459,18195,294831.38,5331189.54,316.21,2.31,-70.0,46.51,,
9460,18196,294861.08,5331189.47,316.47,2.31,-45.0,80.01,,
9461,18197,294862.33,5331153.97,316.35,2.31,-45.0,82.96,,
9462,18198,294886.84,5331158.04,316.47,2.31,-45.0,61.99,,
9463,18199,294883.74,5331081.3,316.78,2.31,-45.0,92.99,,
9466,18200,294881.93,5331101.63,316.91,2.31,-45.0,38.0,,
9467,18201,294925.09,5331206.16,319.82,2.31,-45.0,76.99,,
9468,18202,294924.25,5331170.32,317.06,2.31,-45.0,76.99,,
9469,18203,294961.59,5331189.19,318.64,2.31,-45.0,90.52,,
9470,18204,294968.83,5331140.39,318.15,2.31,-45.0,91.98,,
9471,18205,294957.67,5331098.47,318.26,2.31,-45.0,95.0,,
9472,18206,294955.86,5331048.36,319.46,2.31,-45.0,97.04,,
9473,18207,294953.93,5331006.77,318.54,2.31,-45.0,91.98,,
9474,18208,294997.18,5331174.75,319.04,2.31,-45.0,91.98,,
9475,18209,294996.1,5331145.63,318.72,2.31,-45.0,91.98,,
9477,18210,295089.01,5331195.29,326.34,2.31,-45.0,91.98,,
9478,18211,295088.1,5331153.23,325.18,2.31,-45.0,91.98,,
9479,18212,295103.6,5331083.08,324.85,2.31,-45.0,91.98,,
9480,18213,295103.6,5331083.08,324.85,182.31,-45.0,61.99,,
9481,18214,294349.58,5331090.71,315.82,2.31,-64.0,69.0,,
9482,18215,294350.51,5331133.98,311.9,182.31,-45.0,86.98,,
9483,18216,294345.28,5331004.86,317.69,2.31,-45.0,90.0,,
9484,18217,294352.47,5331178.05,312.12,182.31,-45.0,98.75,,
9485,18218,294331.78,5331153.69,311.79,182.31,-56.0,42.0,,
9486,18219,294327.69,5331082.71,316.28,2.31,-45.0,44.98,,
9488,18220,294314.78,5331140.62,313.22,182.31,-51.0,71.99,,
9489,18221,294310.5,5331079.41,316.82,2.31,-45.0,48.0,,
9490,18222,294311.47,5331007.66,318.46,2.31,-45.0,75.01,,
9491,18223,294272.0,5331130.57,313.29,182.31,-45.0,48.0,,
9492,18224,294269.9,5331091.43,316.08,2.31,-45.0,48.0,,
9493,18225,294253.87,5331120.51,314.04,182.31,-45.0,71.99,,
9494,18226,294253.71,5331029.03,320.42,2.31,-45.0,60.01,,
9495,18227,294236.37,5331020.46,320.51,2.31,-45.0,92.65,,
9496,18228,294236.12,5331111.55,314.0,182.31,-45.0,75.01,,
9497,18229,294218.59,5331129.83,312.18,182.31,-45.0,54.01,,
9499,18230,294200.37,5331160.53,309.59,182.31,-65.0,54.01,,
9500,18231,294199.63,5331131.76,311.02,182.31,-65.0,35.99,,
9501,18232,294199.42,5331131.77,311.02,182.31,-45.0,69.0,,
9502,18233,294181.47,5331138.35,311.29,182.31,-45.0,33.22,,
9503,18234,294179.44,5331088.22,321.03,2.31,-45.0,42.0,,
9513,18243,294992.12,5331062.42,326.32,2.31,-45.0,76.99,,
9514,18244,294995.01,5331097.78,326.46,2.31,-45.0,63.48,,
9515,18245,294990.77,5331027.58,321.03,2.31,-45.0,74.0,,
9516,18246,295029.11,5331061.35,326.27,2.31,-45.0,94.91,,
9517,18247,295030.55,5331088.78,326.06,2.31,-45.0,49.98,No_Assay,
9518,18248,295029.11,5331061.35,326.27,182.31,-45.0,55.99,,
9519,18249,294599.09,5331035.98,315.72,2.31,-70.0,15.54,,
9521,18250,295068.92,5331128.5,325.32,182.31,-45.0,61.99,,
9522,18251,294990.77,5331027.58,321.03,182.31,-45.0,49.98,,
9523,18252,295103.44,5331121.4,324.81,2.31,-45.0,91.98,,
9526,18255,294380.0,5331064.49,315.77,2.31,-45.0,75.01,,
9527,18256,294625.51,5331032.26,315.26,182.31,-45.0,35.99,,
9528,18257,294366.62,5331077.51,315.69,2.31,-62.0,54.01,,
9529,18258,294347.35,5331071.88,316.04,2.31,-74.0,65.98,,
9530,18259,294330.99,5331100.91,315.57,182.31,-45.0,75.01,,
9532,18260,294270.19,5331091.2,315.77,182.31,-67.0,59.74,,
9533,18261,294250.44,5331071.93,320.82,2.31,-60.0,44.98,,
9534,18262,294231.29,5331094.79,321.58,2.31,-53.0,39.01,,
9535,18263,294229.06,5331056.23,321.91,2.31,-50.0,56.99,,
9536,18264,294212.99,5331094.71,322.94,2.31,-60.0,53.18,,
9543,18274,294149.51,5331138.61,313.54,182.31,-82.0,70.98,,
9544,18275,294173.79,5331138.57,310.84,182.31,-85.0,52.42,,
9545,18276,294166.4,5331117.15,312.28,182.31,-45.0,50.99,,
9546,18277,294212.99,5331094.71,322.94,182.31,-56.0,54.01,,
9547,18278,294186.89,5331152.29,309.63,182.31,-82.0,56.38,,
9548,18279,294202.35,5331094.28,322.07,2.31,-67.0,42.21,,
9550,18280,294201.41,5331089.9,322.25,182.31,-80.0,54.01,,
9562,18291,295033.31,5331159.13,321.35,182.31,-45.0,62.51,,
9563,18292,294381.57,5331110.15,314.65,182.31,-62.0,67.97,,
9564,18295,294311.94,5331124.78,314.6,182.31,-48.0,44.01,,
9565,18296,294317.51,5331088.37,315.91,182.31,-65.0,47.0,,
9566,18297,294291.79,5331149.14,310.79,182.31,-45.0,48.0,,
9567,18298,294286.38,5331052.42,318.42,2.31,-45.0,54.01,,
9568,18299,294271.77,5331124.05,313.78,2.31,-45.0,69.0,,
9571,18300,294589.82,5331162.83,314.23,2.31,-80.0,44.01,,
9572,18301,294589.82,5331162.83,314.23,182.31,-70.0,65.98,,
9573,18302,294588.53,5331151.29,314.09,182.31,-60.0,54.01,,
9574,18303,294588.71,5331140.52,314.04,182.31,-60.0,50.99,,
9575,18304,294639.82,5331159.8,314.04,2.31,-62.0,60.01,,
9576,18305,294639.69,5331156.45,314.04,182.31,-57.0,63.0,,
9577,18306,294669.75,5331208.92,315.43,182.31,-70.0,69.0,,
9578,18307,294672.11,5331188.79,315.69,182.31,-70.0,65.98,,
9579,18308,294670.65,5331245.55,314.55,182.31,-70.0,75.01,,
9580,18309,294712.58,5331194.47,316.18,2.31,-65.0,50.99,,
9582,18310,294712.58,5331194.47,316.18,182.31,-68.0,56.99,,
9583,18311,294715.13,5331179.11,316.63,182.31,-60.0,77.99,,
9595,18325,294322.9,5331130.22,314.65,182.31,-58.0,44.98,,
9596,18326,294322.49,5331120.17,314.65,182.31,-58.0,33.83,,
9597,18327,294322.05,5331109.21,315.56,182.31,-58.0,33.98,,
9598,18328,294300.17,5331132.39,314.4,182.31,-45.0,47.0,,
9599,18329,294299.95,5331122.49,314.71,182.31,-45.0,46.63,,
9601,18330,294273.39,5331145.34,310.75,182.31,-45.0,52.18,,
9602,18331,294271.81,5331119.08,313.9,182.31,-45.0,46.51,,
9607,18336,294575.79,5331160.56,316.17,182.31,-45.0,56.99,,
9608,18337,294625.51,5331032.26,315.26,2.31,-70.0,14.99,,
9609,18338,294654.87,5331172.13,313.19,182.31,-45.0,69.0,,
9610,18339,294811.44,5331166.55,316.83,182.31,-45.0,75.01,,
9612,18340,294822.07,5331143.43,316.33,182.31,-45.0,60.01,,
9613,18341,294840.41,5331152.78,316.35,182.31,-45.0,69.0,,
9614,18342,294858.4,5331145.01,316.49,182.31,-45.0,63.0,,
9615,18343,294902.52,5331133.89,316.96,182.31,-45.0,68.0,,
9616,18344,294935.5,5331137.01,318.87,182.31,-55.0,77.99,,
9617,18345,294888.19,5331185.47,316.96,182.31,-50.0,76.68,,
9618,18346,294588.83,5331036.37,315.87,182.31,-75.0,29.68,,
9619,18347,294588.83,5331036.37,315.87,2.31,-65.0,27.0,,
9620,18348,294634.77,5331034.94,315.26,2.31,-45.0,13.5,,
9621,18349,294634.77,5331034.94,315.26,2.31,-77.0,13.5,,
9623,18350,294634.77,5331034.94,315.26,182.31,-45.0,35.99,,
9624,18351,294570.61,5331110.83,315.12,182.31,-64.0,49.01,,
9625,18352,294572.79,5331101.35,315.17,182.31,-56.0,69.0,,
9626,18353,294574.43,5331087.77,315.14,182.31,-56.0,55.47,,
9627,18354,294603.86,5331098.93,315.3,2.31,-55.0,48.0,,
9628,18355,294603.86,5331098.93,315.3,182.31,-52.0,56.99,,
9629,18357,294873.89,5331190.08,316.76,182.31,-45.0,89.0,,
9630,18358,294870.15,5331136.91,316.95,182.31,-65.0,63.0,,
9631,18359,294870.5,5331098.64,316.97,182.31,-60.0,35.99,,
9633,18360,294868.96,5331084.76,316.58,182.31,-45.0,42.0,,
9634,18361,294944.37,5331222.89,319.0,182.31,-80.0,63.0,,
9635,18362,295019.36,5331233.52,322.96,182.31,-80.0,62.48,,
9636,18363,295040.76,5331236.38,319.69,2.31,-45.0,35.99,,
9639,18366,294665.59,5331161.84,314.54,182.31,-70.0,59.43,,
9640,18367,294665.59,5331161.84,314.54,182.31,-45.0,55.99,,
9641,18368,294663.62,5331122.32,315.88,182.31,-84.0,48.0,,
9642,18369,294663.62,5331122.32,315.88,182.31,-58.0,49.98,,
9644,18370,294622.8,5331105.4,315.45,2.31,-75.0,29.56,,
9645,18371,294622.8,5331105.4,315.45,182.31,-75.0,33.0,,
9646,18372,294622.8,5331105.4,315.45,182.31,-45.0,41.45,,
9647,18373,294383.91,5331168.02,314.65,2.31,-58.0,69.0,,
9648,18374,294383.91,5331168.02,314.65,182.31,-60.0,47.15,,
9649,18375,294383.04,5331146.4,314.65,182.31,-70.0,59.13,,
9650,18376,294365.62,5331168.15,314.65,182.31,-74.0,49.98,,
9651,18377,294364.96,5331166.31,314.07,182.31,-45.0,63.0,,
9652,18378,294351.24,5331174.65,312.44,182.31,-70.0,59.49,,
9653,18379,294350.92,5331158.62,312.79,182.31,-45.0,47.0,,
9655,18380,294332.11,5331155.05,312.15,2.31,-45.0,71.99,,
9656,18381,294332.11,5331155.05,312.15,2.31,-70.0,48.0,,
9657,18382,294331.12,5331135.07,314.03,182.31,-58.0,41.14,,
9664,18389,294816.22,5331374.47,309.7,182.31,-65.0,84.0,,
9666,18390,294811.31,5331213.87,315.26,182.31,-70.0,66.99,,
9667,18391,294830.55,5331179.6,316.19,182.31,-60.0,85.03,,
9668,18392,294830.97,5331144.87,316.33,182.31,-64.0,96.01,,
9669,18393,294830.71,5331130.82,316.51,182.31,-60.0,126.0,,
9670,18394,294314.6,5331151.3,314.04,2.31,-55.0,122.98,,
9671,18394A,294314.6,5331151.3,314.04,2.31,-49.0,77.99,,
9672,18395,294314.6,5331151.3,314.04,182.31,-61.0,111.0,,
9676,18402,294290.99,5331139.17,313.72,182.31,-45.0,50.99,,
9677,18403,294288.13,5331116.07,314.66,182.31,-51.0,42.0,,
9678,18404,294271.66,5331143.92,312.41,2.31,-40.0,82.99,,
9679,18405,294272.44,5331102.31,314.81,182.31,-55.0,38.1,,
9680,18406,294253.85,5331108.64,313.38,2.31,-49.0,69.0,,
9681,18407,294253.36,5331118.12,313.57,182.31,-59.0,50.99,,
9682,18408,294254.01,5331102.17,313.86,182.31,-55.0,41.75,,
9683,18409,294235.39,5331116.07,314.34,2.31,-55.0,80.01,,
9685,18410,294235.39,5331116.07,314.34,182.31,-57.0,50.99,,
9686,18411,295041.02,5331228.28,321.24,2.31,-84.0,60.01,,
9687,18412,294332.79,5331148.43,312.21,182.31,-86.0,96.62,,
9688,18413,294332.38,5331138.38,314.04,182.31,-73.0,116.73,,
9689,18414,294332.15,5331119.75,314.63,182.31,-60.0,113.99,,
9690,18415,294203.92,5331088.48,322.18,182.31,-69.0,41.14,,
9691,18416,294203.94,5331088.97,322.18,182.31,-86.0,96.01,,
9692,18417,294263.02,5331120.44,314.04,182.31,-81.0,44.5,,
9693,18418,294263.01,5331120.14,314.04,182.31,-60.0,48.0,,
9694,18419,294273.19,5331145.65,310.68,2.31,-51.0,96.01,,
9696,18420,294273.18,5331145.35,310.68,2.31,-79.0,86.98,,
9697,18421,294369.89,5331159.28,313.03,182.31,-50.0,113.99,,
9698,18422,294369.89,5331159.28,313.02,2.31,-70.0,48.0,,
9699,18423,294342.82,5331168.8,312.33,2.31,-90.0,69.0,,
9700,18424,294301.11,5331044.07,317.38,2.31,-62.0,122.98,,
9701,18425,294305.17,5331142.19,314.68,182.31,-80.0,91.71,,
9702,18426,294292.63,5331174.52,310.52,2.31,-75.0,84.0,,
9703,18427,294269.76,5331171.78,310.3,2.31,-48.0,80.98,,
9704,18428,294247.07,5331176.3,309.88,2.31,-49.0,77.99,,
9705,18429,294247.05,5331175.84,309.88,2.31,-85.0,68.12,,
9707,18430,294224.11,5331176.62,309.95,182.31,-72.0,105.0,,
9708,18431,294213.49,5331140.41,309.88,182.31,-78.0,69.0,,
9709,18432,294310.94,5331063.75,317.01,2.31,-73.0,122.98,,
9710,18433,294314.83,5331151.72,312.53,2.31,-82.0,42.0,,
9711,18435,294200.6,5331159.51,309.89,182.31,-80.0,98.14,,
9712,18436,294188.09,5331187.26,309.32,2.31,-45.0,44.98,,
9713,18437,294187.1,5331159.78,310.01,182.31,-75.0,98.99,,
9714,18438,294164.41,5331168.36,309.74,2.31,-90.0,86.98,,
9715,18439,294164.39,5331167.75,309.74,182.31,-65.0,70.1,,
9717,18440,294164.44,5331168.97,309.74,2.31,-45.0,61.99,,
9718,18441,294151.33,5331225.02,310.07,182.31,-65.0,57.6,,
9719,18442,294145.24,5331149.92,309.4,2.31,-84.0,56.99,,
9720,18443,294136.38,5331157.02,310.05,2.31,-45.0,71.99,,
9721,18444,294080.6,5331210.83,308.85,182.31,-75.0,98.99,,
9722,18445,294080.6,5331210.83,308.85,182.31,-45.0,69.0,,
9723,18446,294027.71,5331187.74,310.67,182.31,-80.0,78.51,,
9724,18447,294027.68,5331187.01,309.81,182.31,-48.0,63.0,,
9725,18448,294005.47,5331204.96,309.76,182.31,-45.0,86.98,,
9726,18449,294005.47,5331204.96,309.76,182.31,-68.0,90.0,,
9728,18450,294003.92,5331161.34,311.05,2.31,-83.0,35.99,,
9729,18451,293949.92,5331187.59,310.67,182.31,-73.0,77.99,,
9730,18452,293955.23,5331199.7,310.1,182.31,-45.0,92.99,,
9732,18454,294873.87,5331059.86,316.98,182.31,-84.0,134.99,,
9733,18455,294074.14,5331164.35,310.91,2.31,-45.0,138.01,,
9734,18456,294224.11,5331176.62,309.95,2.31,-66.0,56.99,,
9735,18457,294286.31,5331014.62,319.29,2.31,-51.0,92.99,,
9736,18458,294808.14,5331134.84,316.69,182.31,-73.0,65.98,,
9737,18459,294807.82,5331126.74,316.63,182.31,-45.0,61.56,,
9739,18460,294809.39,5331167.92,316.75,182.31,-62.0,138.01,,
9740,18461,294810.99,5331203.7,315.93,182.31,-69.0,62.48,,
9741,18462,294828.91,5331196.51,316.12,2.31,-90.0,110.64,,
9742,18463,294888.2,5331190.81,316.9,2.31,-90.0,113.99,,
9743,18464,294886.18,5331141.69,316.86,2.31,-80.0,113.99,,
9744,18465,294885.7,5331126.12,316.87,182.31,-77.0,117.07,,
9745,18466,294885.1,5331115.74,316.92,182.31,-65.0,90.0,,
9746,18467,294904.08,5331129.59,316.93,182.31,-71.0,113.99,,
9747,18468,294922.02,5331122.06,317.23,182.31,-76.0,111.0,,
9748,18469,295033.72,5331053.3,325.09,182.31,-80.0,116.0,,
9750,18470,294210.2,5331172.0,309.95,2.31,-63.0,56.99,,
9751,18471,294210.18,5331171.69,309.95,2.31,-84.0,77.99,,
9752,18472,294200.87,5331171.46,309.95,182.31,-60.0,71.99,,
9753,18473,294199.64,5331137.34,310.82,182.31,-76.0,77.99,,
9754,18474,294163.63,5331149.81,310.39,182.31,-56.0,111.0,,
9755,18475,294027.7,5331213.09,309.44,182.31,-45.0,90.0,,
9756,18476,293982.98,5331213.83,309.67,182.31,-45.0,92.99,,
9757,18477,293980.6,5331152.0,311.9,2.31,-45.0,98.99,,
9758,18478,294528.83,5331130.74,313.76,182.31,-46.0,60.01,,
9759,18479,294598.75,5331050.91,315.39,2.31,-81.0,19.5,,
9761,18480,294612.81,5331053.82,316.41,2.31,-80.0,15.54,,
9762,18481,294635.57,5331059.28,315.74,2.31,-45.0,39.01,,
9763,18482,294600.75,5331102.57,315.12,182.31,-48.0,54.01,,
9764,18483,294622.97,5331081.17,315.52,182.31,-45.0,29.99,,
9765,18484,294546.77,5331017.75,315.49,2.31,-45.0,65.98,,
9766,18485,294626.52,5331057.93,315.85,2.31,-76.0,31.39,,
