,BHID,AT,AZ,DIP
10405,14972,130.45,361.31,77.0
10406,14972,136.55,361.31,77.0
10407,14972,244.75,8.81,77.0
10408,14972,246.27,8.81,77.0
10409,14972,252.37,8.81,78.0
10410,14972,258.47,8.81,78.5
10411,14972,270.66,8.81,78.5
10412,14972,282.85,8.81,78.0
10413,14972,394.1,7.31,78.5
10414,14972,395.63,7.31,77.5
10415,14973,0.0,2.31,74.0
10416,14973,43.58,11.31,73.0
10417,14973,75.59,11.47,74.0
10418,14973,99.97,11.59,73.5
10419,14973,118.26,11.68,72.5
10420,14973,130.45,11.74,72.0
10421,14973,144.17,11.81,72.5
10422,14973,179.22,12.27,72.0
10423,14973,197.51,12.5,72.5
10424,14973,209.7,12.66,72.5
10425,14973,221.89,12.82,72.0
10426,14973,240.18,13.06,72.5
10427,14973,259.99,13.31,72.0
10428,14973,319.43,14.64,72.5
10429,14973,356.0,15.46,73.0
10430,14973,392.58,16.28,72.0
10431,14973,394.1,16.31,72.0
10432,14973,410.87,16.31,73.0
10433,14974,0.0,2.31,66.0
10434,14974,69.49,3.93,66.0
10435,14974,107.59,4.81,65.0
10436,14974,118.26,4.55,65.0
10437,14974,130.45,4.24,65.0
10438,14974,191.41,2.72,64.0
10439,14974,215.79,362.11,63.5
10440,14974,240.18,361.5,63.0
10441,14974,264.56,360.89,63.5
10442,14974,386.48,357.84,62.5
10443,14974,427.63,356.81,61.5
10444,14974,429.15,356.81,62.0
10445,14975,0.0,2.31,60.0
10446,14975,75.59,359.4,60.0
10447,14975,87.78,358.93,59.5
10448,14975,136.55,357.05,59.0
10449,14975,142.64,356.81,58.5
10450,14975,160.93,357.25,57.0
10451,14975,185.31,357.83,56.0
10452,14975,226.46,358.81,54.0
10453,14975,240.18,359.01,55.0
10454,14975,282.85,359.65,53.5
10455,14975,325.52,360.28,53.0
10456,14975,392.58,361.27,52.0
10457,14975,410.87,361.54,51.5
10458,14975,423.06,361.72,51.0
10459,14975,429.15,361.81,50.0
10460,14976,0.0,2.31,70.0
10461,14976,26.82,2.31,70.0
10462,14976,51.2,2.31,69.0
10463,14976,69.49,2.31,68.0
10464,14976,93.87,3.31,67.5
10465,14976,203.6,3.9,66.0
10466,14976,234.08,4.06,65.0
10467,14976,281.33,4.31,64.5
10468,14976,386.48,7.02,64.0
