,Unnamed: 0,BHID,FROM,TO,AU_AVG_GT,_id0
0,23,10,27.91968,29.13888,11.314,0
1,24,10,29.13888,30.0228,2.743,1
2,25,10,30.0228,30.66288,20.571,2
3,26,10,30.66288,32.18688,51.771,3
4,27,10,32.18688,32.64408,3.6,4
5,28,10,32.64408,33.528,3.6,5
6,29,10,35.6616,36.4236,0.686,6
7,30,10,36.4236,36.78936,3.6,7
8,31,10,36.78936,37.39896,0.686,8
9,2335,10165,4.78536,5.09016,0.09,9
10,2336,10165,18.50136,18.80616,0.02,10
11,2337,10165,35.3568,35.6616,0.02,11
12,2338,10165,80.772,81.0768,0.02,12
13,2339,10165,94.9452,95.25,0.02,13
14,2340,10165,95.5548,95.8596,0.02,14
15,2341,10165,97.0788,97.3836,0.02,15
16,2342,10165,98.1456,98.4504,0.02,16
17,2343,10165,113.0808,113.6904,0.02,17
18,2344,10165,113.6904,114.3,0.02,18
19,2345,10165,114.3,114.9096,0.02,19
20,2346,10165,114.9096,115.5192,0.02,20
21,2347,10165,140.5128,140.8176,5.23,21
22,2348,10165,143.68272,143.98752,0.17,22
23,2349,10165,158.6484,158.9532,0.09,23
24,2350,10165,223.7232,224.1804,0.26,24
25,2351,10165,264.2616,264.5664,0.02,25
26,2352,10166,60.59424,60.89904,1.971,26
27,2353,10166,80.772,81.0768,0.086,27
28,2354,10166,81.3816,81.6864,0.257,28
29,2355,10166,88.14816,88.45296,2.829,29
30,2356,10166,89.3064,89.6112,0.686,30
31,2357,10166,94.1832,94.488,4.2,31
32,2358,10166,96.3168,96.6216,0.171,32
33,2359,10166,104.394,104.6988,0.171,33
34,2360,10166,105.52176,105.82656,0.086,34
35,2361,10166,106.0704,106.3752,1.2,35
36,7320,10400,8.44296,8.74776,0.026,36
37,7321,10400,29.50464,29.80944,0.171,37
38,7322,10400,34.1376,34.4424,2.272,38
39,7323,10400,39.1668,39.4716,0.171,39
40,7324,10400,56.35752,56.66232,2.657,40
41,7325,10400,64.3128,64.77,8.529,41
42,7326,10400,65.3796,65.6844,1.543,42
43,7327,10400,71.1708,71.4756,0.026,43
44,7328,10400,82.4484,82.7532,0.171,44
45,7329,10400,85.1916,85.6488,1.714,45
46,7330,10400,98.1456,98.7552,0.686,46
47,7331,10400,105.6132,106.0704,0.171,47
48,7332,10400,110.6424,110.9472,0.171,48
49,7333,10400,141.732,142.494,1.843,49
50,7334,10400,142.76832,143.07312,0.257,50
51,7335,10400,147.828,148.1328,0.026,51
52,7336,10400,171.1452,171.45,0.086,52
53,7337,10400,172.15104,172.45584,0.171,53
54,7338,10400,175.26,175.5648,0.171,54
55,7339,10400,180.1368,180.53304,0.171,55
56,7340,10400,207.4164,207.7212,0.171,56
57,7341,10400,212.9028,213.36,0.257,57
58,7342,10400,267.1572,267.462,0.429,58
59,7343,10400,268.0716,268.3764,0.643,59
60,7344,10400,268.6812,268.986,0.686,60
61,7345,10400,274.9296,275.6916,0.026,61
62,7346,10400,292.608,293.0652,0.086,62
63,7347,10400,295.3512,295.8084,0.086,63
64,7348,10401,11.52144,11.82624,0.257,64
65,7349,10401,25.08504,25.38984,1.114,65
66,7350,10401,41.7576,42.2148,0.171,66
67,7351,10401,49.0728,49.3776,0.171,67
68,7352,10401,55.9308,56.2356,56.4,68
69,7353,10401,62.0268,62.3316,0.257,69
70,7354,10401,84.4296,84.7344,19.886,70
71,7355,10401,107.2896,107.5944,0.171,71
72,7356,10401,110.49,110.7948,0.171,72
73,7357,10401,115.2144,115.824,0.086,73
74,7358,10401,123.5964,123.9012,0.171,74
75,7359,10401,166.878,167.64,0.086,75
76,7360,10401,167.64,168.5544,0.086,76
77,7361,10401,172.212,172.974,0.086,77
78,7362,10401,206.59344,206.89824,0.086,78
79,7363,10401,216.1032,216.408,0.086,79
80,7364,10401,228.4476,229.6668,0.257,80
81,7365,10401,229.9716,230.2764,0.086,81
82,7366,10401,230.7336,231.0384,0.026,82
83,7367,10401,231.1908,231.4956,0.026,83
84,7368,10401,232.41,232.7148,0.026,84
85,7369,10401,233.172,233.4768,0.257,85
86,7370,10401,243.62664,243.93144,0.086,86
87,7371,10401,247.8024,248.1072,0.086,87
88,7372,10401,252.8316,253.1364,0.026,88
89,7373,10401,284.3784,284.8356,0.429,89
90,7374,10401,284.988,285.4452,1.114,90
91,7375,10401,291.3888,291.6936,0.343,91
92,7376,10401,295.0464,295.3512,0.086,92
93,7377,10401,296.7228,297.0276,0.171,93
94,7378,10401,297.7896,298.0944,0.171,94
95,7379,10402,29.5656,29.8704,0.026,95
96,7380,10402,44.6532,45.1104,0.026,96
97,7381,10402,91.5924,92.202,0.026,97
98,7382,10402,94.7928,95.0976,0.026,98
99,7383,10402,100.584,101.0412,0.514,99
100,7384,10402,106.8324,107.1372,0.171,100
101,7385,10402,108.204,108.5088,0.026,101
102,7386,10402,109.728,110.0328,0.026,102
103,7387,10402,110.7948,111.252,0.171,103
104,7388,10402,113.538,113.8428,0.343,104
105,7389,10402,114.1476,114.6048,0.026,105
106,7390,10402,115.12296,115.42776,0.026,106
107,7391,10402,120.8532,121.158,0.026,107
108,7768,10416,9.144,9.4488,0.343,108
109,7769,10416,11.5824,11.8872,0.026,109
110,7770,10416,18.1356,18.7452,0.026,110
111,7771,10416,19.05,19.3548,0.026,111
112,7772,10416,23.7744,24.384,0.026,112
113,7773,10416,35.6616,35.9664,0.026,113
114,7774,10416,41.3004,42.5196,0.026,114
115,7775,10416,46.6344,46.9392,0.171,115
116,7776,10416,50.4444,50.7492,0.171,116
117,7777,10416,52.1208,52.4256,0.343,117
118,7778,10416,80.772,81.0768,0.026,118
119,7779,10416,88.392,88.6968,0.257,119
120,7780,10416,114.1476,114.4524,0.257,120
121,7781,10416,117.1956,117.5004,0.026,121
122,7782,10416,129.0828,129.3876,0.171,122
123,7783,10416,143.8656,144.1704,0.026,123
124,7784,10416,168.402,168.7068,0.026,124
125,7785,10416,169.0116,169.3164,0.171,125
126,7846,10421,23.622,24.384,0.026,126
127,7847,10421,24.384,25.146,0.257,127
128,7848,10421,25.146,25.908,0.026,128
129,7849,10421,71.26224,71.628,0.026,129
130,7850,10421,87.7824,88.0872,0.026,130
131,7851,10421,90.2208,90.5256,0.026,131
132,7852,10421,93.726,94.0308,0.026,132
133,7853,10421,134.5692,135.0264,0.026,133
134,7854,10422,15.0876,15.3924,0.343,134
135,7855,10422,43.5864,43.8912,0.429,135
136,7856,10422,53.6448,53.9496,1.114,136
137,7857,10422,69.7992,70.104,0.086,137
138,7858,10422,81.3816,81.6864,0.257,138
139,7859,10422,91.07424,92.0496,0.171,139
140,7860,10422,92.0496,93.14688,0.086,140
141,7861,10422,115.824,116.49456,0.171,141
142,7862,10422,116.49456,117.16512,0.086,142
143,7863,10422,145.0848,145.542,0.026,143
144,7864,10422,146.9136,147.2184,0.026,144
145,7865,10422,169.59072,170.20032,0.086,145
146,7866,10422,184.64784,184.95264,0.026,146
147,7867,10422,190.1952,190.5,0.086,147
148,7868,10422,235.7628,236.0676,0.171,148
149,7869,10422,281.7876,282.0924,0.086,149
150,7870,10422,282.48864,282.79344,0.086,150
151,7871,10422,303.4284,303.82464,0.086,151
152,7872,10422,316.0776,316.6872,0.026,152
153,7873,10422,327.2028,327.66,0.171,153
154,7874,10422,331.7748,332.3844,0.026,154
155,7875,10422,339.09,339.3948,0.026,155
156,7876,10422,349.758,350.42856,0.026,156
157,7877,10422,352.6536,352.9584,0.026,157
158,7878,10422,367.1316,367.4364,0.026,158
159,7879,10422,367.61928,368.16792,0.026,159
160,7880,10422,372.22176,372.52656,0.026,160
161,7881,10422,372.7704,373.38,0.026,161
162,7882,10422,373.38,373.92864,0.026,162
163,7883,10422,422.05656,422.36136,10.629,163
164,7884,10422,439.2168,439.5216,0.086,164
165,7885,10422,439.5216,439.8264,0.026,165
166,7886,10422,440.03976,440.34456,0.026,166
167,7887,10422,443.72784,444.3984,0.026,167
168,7888,10422,445.6176,445.98336,0.026,168
169,7889,10422,451.68312,452.14032,0.026,169
170,7890,10422,472.7448,473.3544,0.026,170
171,18820,11,32.6136,33.528,0.686,171
172,18821,11,33.528,34.4424,0.171,172
173,18822,11,34.4424,35.17392,0.686,173
174,18823,11,35.17392,35.72256,0.086,174
175,18824,11,35.72256,36.17976,8.057,175
176,18825,11,36.17976,36.78936,0.171,176
177,18826,11,36.78936,37.4904,1.029,177
178,18827,11,37.4904,38.2524,0.686,178
179,18828,11,38.2524,39.624,0.171,179
180,18829,11,39.624,41.148,0.086,180
181,18830,11,44.8056,45.72,1.029,181
182,25310,1135,0.0,4.572,0.086,182
183,25311,1135,4.572,10.668,0.086,183
184,25312,1135,10.668,12.192,0.086,184
185,25313,1135,12.192,13.2588,0.086,185
186,25314,1135,13.2588,13.716,0.686,186
187,25315,1135,13.716,15.24,0.086,187
188,25316,1135,15.24,18.288,0.086,188
189,25317,1135,18.288,21.336,0.086,189
190,25318,1135,21.336,24.384,0.086,190
191,25319,1135,24.384,27.432,0.086,191
192,25320,1135,27.432,30.48,0.086,192
193,25321,1135,30.48,33.528,0.086,193
194,25322,1135,33.528,36.576,0.086,194
195,25323,1135,36.576,38.1,0.086,195
196,25324,1135,38.1,41.148,0.086,196
197,25325,1135,41.148,42.0624,0.086,197
198,25326,1135,42.0624,42.672,0.086,198
199,25327,1135,42.672,44.196,0.086,199
200,25328,1135,44.196,47.244,0.086,200
201,25329,1135,47.244,50.292,0.086,201
202,25330,1135,50.292,53.34,0.086,202
203,25331,1135,53.34,56.388,0.086,203
204,25332,1135,56.388,59.436,0.086,204
205,25333,1135,59.436,62.484,0.086,205
206,25334,1135,62.484,65.532,0.086,206
207,25335,1135,65.532,67.056,0.086,207
208,25510,1136,0.0,0.9144,18.514,208
209,25511,1136,0.9144,55.1688,0.086,209
210,25512,1136,55.1688,55.626,0.686,210
211,25513,1136,55.626,61.5696,0.086,211
212,29812,11575,14.08176,25.11552,0.026,212
213,29813,11575,35.90544,36.21024,0.026,213
214,29814,11575,77.4192,83.85048,0.026,214
215,29815,11575,83.85048,84.21624,0.086,215
216,29816,11575,84.21624,87.3252,0.026,216
217,29817,11575,112.22736,112.53216,0.026,217
218,29818,11575,129.2352,129.90576,0.026,218
219,29819,11575,129.90576,130.1496,0.086,219
220,29820,11575,130.1496,130.4544,0.026,220
221,29821,11575,159.13608,159.59328,0.026,221
222,29822,11575,162.06216,162.48888,0.026,222
223,29823,11575,197.5104,197.8152,0.026,223
224,29824,11575,200.5584,200.92416,0.026,224
225,29825,11575,201.41184,201.71664,0.026,225
226,29826,11575,202.8444,203.42352,20.657,226
227,29827,11575,203.42352,203.454,34.286,227
228,29828,11575,203.6064,203.9112,0.257,228
229,29829,11575,204.3684,204.6732,0.026,229
230,29830,11575,204.8256,205.1304,37.457,230
231,29831,11575,209.2452,209.55,0.086,231
232,29832,11575,224.79,225.06432,5.486,232
233,29833,11575,225.06432,225.0948,34.286,233
234,29834,11575,231.8004,232.1052,0.086,234
235,29835,11575,243.90096,244.08384,0.257,235
236,29836,11575,254.11176,254.3556,0.171,236
237,29837,11576,18.56232,19.05,1.371,237
238,29838,11576,22.2504,22.5552,0.086,238
239,29839,11576,23.71344,24.01824,0.026,239
240,29840,11576,24.78024,25.2984,3.429,240
241,29841,11576,31.51632,31.91256,0.171,241
242,29842,11576,31.91256,32.3088,0.086,242
243,29843,11576,37.1856,37.67328,0.026,243
244,29844,11576,39.80688,40.2336,0.026,244
245,29845,11576,55.22976,55.7784,2.057,245
246,29846,11577,49.6824,50.292,0.003,246
247,29847,11577,50.71872,51.2064,0.003,247
248,29848,11577,51.2064,51.78552,3.686,248
249,29849,11577,51.78552,52.48656,1.886,249
250,29850,11577,52.48656,52.7304,0.171,250
251,29851,11577,53.55336,53.91912,0.343,251
252,29852,11577,54.31536,54.5592,0.086,252
253,29853,11577,87.87384,88.33104,0.003,253
254,29854,11577,89.154,89.48928,0.171,254
255,29855,11577,90.678,91.07424,0.086,255
256,29856,11577,91.34856,91.56192,0.003,256
257,29857,11577,92.38488,92.75064,0.003,257
258,29858,11577,92.75064,93.2688,0.003,258
259,29859,11577,94.30512,94.70136,0.003,259
260,29860,11577,94.70136,95.0976,0.003,260
261,29861,11577,97.29216,97.6884,0.686,261
262,29862,11577,97.6884,98.26752,0.003,262
263,29863,11577,99.02952,99.9744,0.003,263
264,29864,11577,99.9744,101.1936,0.003,264
265,29865,11577,101.1936,101.46792,0.003,265
266,29866,11577,101.46792,102.4128,0.003,266
267,29867,11577,102.4128,103.0224,0.003,267
268,29868,11578,24.5364,24.9936,0.026,268
269,29869,11578,24.9936,25.7556,0.857,269
270,29870,11578,25.7556,26.0604,0.026,270
271,29871,11578,26.0604,26.3652,0.343,271
272,29872,11578,26.5176,26.8224,0.514,272
273,29873,11578,26.8224,27.1272,0.429,273
274,29874,11578,27.1272,27.432,1.971,274
275,29875,11578,28.3464,28.6512,4.971,275
276,29876,11578,52.66944,52.97424,4.543,276
277,29877,11578,53.27904,53.58384,16.886,277
278,29878,11578,55.7784,56.0832,25.714,278
279,29879,11578,57.51576,57.82056,0.514,279
280,29880,11578,62.1792,62.484,0.257,280
281,29881,11578,64.9224,65.2272,2.314,281
282,29882,11578,66.4464,66.7512,0.086,282
283,29883,11578,68.58,68.94576,0.686,283
284,29884,11578,70.65264,71.0184,0.026,284
285,29885,11578,71.3232,71.628,0.514,285
286,29886,11578,72.39,72.75576,0.6,286
287,29887,11578,76.10856,76.41336,0.026,287
288,29888,11578,79.248,79.61376,3.857,288
289,29889,11578,79.61376,80.25384,19.714,289
290,29890,11578,80.25384,80.40624,0.943,290
291,29891,11578,80.40624,80.772,0.343,291
292,29892,11578,80.772,81.01584,0.171,292
293,29893,11578,81.01584,81.6864,0.171,293
294,29894,11578,88.392,89.24544,0.026,294
295,29895,11578,91.25712,91.71432,0.026,295
296,29896,11578,93.02496,93.39072,0.026,296
297,29897,11578,94.15272,94.51848,0.771,297
298,29898,11578,95.21952,95.7072,1.8,298
299,29899,11578,95.7072,96.012,0.686,299
300,29900,11578,96.9264,97.35312,0.026,300
301,29901,11578,97.35312,97.77984,0.026,301
302,29902,11578,97.77984,98.51136,0.026,302
303,29903,11578,98.51136,99.54768,0.343,303
304,29904,11578,99.63912,99.9744,0.086,304
305,29905,11578,103.96728,105.09504,0.429,305
306,29906,11578,105.09504,105.79608,0.026,306
307,29907,11578,105.79608,106.55808,0.086,307
308,29908,11578,106.55808,107.16768,0.026,308
309,29909,11578,107.16768,108.08208,0.514,309
310,29910,11578,108.08208,108.60024,0.171,310
311,29911,11578,108.60024,109.4232,0.026,311
312,29912,11578,109.4232,109.81944,0.771,312
313,29913,11578,109.81944,110.45952,0.026,313
314,29914,11578,110.45952,111.4044,0.026,314
315,29915,11578,111.4044,112.1664,0.026,315
316,29916,11578,112.1664,112.53216,0.343,316
317,29917,11578,112.53216,112.776,1.714,317
318,29918,11578,112.776,113.0808,1.8,318
319,29919,11578,113.0808,113.3856,0.171,319
320,29920,11578,113.3856,113.6904,0.026,320
321,29921,11578,113.9952,114.36096,0.026,321
322,29922,11578,114.36096,114.66576,0.026,322
323,29923,11578,114.66576,115.2144,0.026,323
324,29924,11578,115.2144,115.88496,0.086,324
325,29925,11578,115.88496,116.4336,0.026,325
326,29926,11578,116.4336,117.348,0.171,326
327,29927,11578,118.2624,119.35968,0.086,327
328,29928,11578,124.968,125.30328,0.026,328
329,29929,11578,137.95248,138.25728,2.829,329
330,29930,11578,151.88184,152.18664,0.026,330
331,29931,11578,152.18664,152.5524,0.026,331
332,29932,11578,153.162,153.4668,0.026,332
333,29933,11578,153.4668,154.3812,0.086,333
334,29934,11578,162.21456,162.64128,0.257,334
335,29935,11578,163.76904,164.2872,0.026,335
336,29936,11578,207.8736,208.1784,1.029,336
337,29937,11578,210.83016,211.13496,0.429,337
338,29938,11578,217.35288,217.71864,0.026,338
339,29939,11578,221.07144,221.4372,2.143,339
340,29940,11578,223.20504,223.63176,59.777,340
341,29941,11578,225.27768,225.49104,0.771,341
342,29942,11579,20.97024,21.24456,1.029,342
343,29943,11579,35.75304,36.08832,6.857,343
344,29944,11579,42.70248,43.15968,1.114,344
345,29945,11579,43.52544,43.76928,0.857,345
346,29946,11579,44.28744,44.56176,1.2,346
347,29947,11579,44.56176,44.92752,2.571,347
348,29948,11579,44.92752,45.2628,0.343,348
349,29949,11579,47.06112,47.27448,0.429,349
350,29950,11579,47.45736,47.67072,0.943,350
351,29951,11579,51.02352,51.2064,0.343,351
352,29952,11579,64.52616,64.73952,0.6,352
353,29953,11579,68.58,69.00672,0.171,353
354,29954,11579,70.80504,71.0184,0.086,354
355,29955,11579,79.4004,79.7052,0.026,355
356,29956,11579,83.9724,84.21624,8.229,356
357,29957,11579,105.82656,106.16184,0.686,357
