,Unnamed: 0,BHID,FROM,TO,LITHO_DESC,lithoID,_id0
3494,48394,18126,40.2,42.0,Intermediate to Ultramafic Volcanics,5.0,3494
3495,48395,18127,0.0,7.92,Casing,1.0,3495
3496,48396,18127,7.92,20.42,Intermediate to Ultramafic Volcanics,5.0,3496
3497,48397,18127,20.42,31.28,Diorite,2.0,3497
3498,48398,18127,31.28,47.94,Intermediate to Ultramafic Volcanics,5.0,3498
3499,48399,18127,47.94,48.92,Shear Zone,4.0,3499
3500,48400,18127,48.92,54.49,Diorite,2.0,3500
3501,48401,18127,54.49,56.38,Early Diorite,2.0,3501
3502,48402,18128,0.0,12.8,Casing,1.0,3502
3503,48403,18128,12.8,26.51,Intermediate to Ultramafic Volcanics,5.0,3503
3504,48404,18128,26.51,53.26,Diorite,2.0,3504
3505,48405,18128,53.26,56.26,Intermediate to Ultramafic Volcanics,5.0,3505
3506,48406,18128,56.26,66.78,Diorite,2.0,3506
3507,48407,18128,66.78,68.97,Intermediate to Ultramafic Volcanics,5.0,3507
3508,48408,18128,68.97,80.74,Diorite,2.0,3508
3509,48409,18128,80.74,84.79,Granodiorite,11.0,3509
3510,48410,18128,84.79,90.0,Diorite,2.0,3510
3511,48411,18129,0.0,8.36,Casing,1.0,3511
3512,48412,18129,8.36,10.95,Intermediate to Ultramafic Volcanics,5.0,3512
3513,48413,18129,10.95,11.47,Early Diorite,2.0,3513
3514,48414,18129,11.47,12.19,Intermediate to Ultramafic Volcanics,5.0,3514
3515,48415,18129,12.19,15.16,Early Diorite,2.0,3515
3516,48416,18129,15.16,16.8,Diorite,2.0,3516
3517,48417,18129,16.8,21.16,Early Diorite,2.0,3517
3518,48418,18129,21.16,30.46,Intermediate to Ultramafic Volcanics,5.0,3518
3519,48419,18129,30.46,32.17,Early Diorite,2.0,3519
3520,48420,18129,32.17,33.22,Diorite,2.0,3520
3521,48421,18129,33.22,37.24,Early Diorite,2.0,3521
3522,48422,18129,37.24,40.06,Intermediate to Ultramafic Volcanics,5.0,3522
3523,48423,18129,40.06,40.52,Shear Zone,4.0,3523
3524,48424,18129,40.52,54.01,Diorite,2.0,3524
3525,48431,18130,0.0,9.34,Casing,1.0,3525
3526,48432,18130,9.34,15.31,Intermediate to Ultramafic Volcanics,5.0,3526
3527,48433,18130,15.31,19.08,Felsic to Intermediate Dykes,3.0,3527
3528,48434,18130,19.08,27.63,Intermediate to Ultramafic Volcanics,5.0,3528
3529,48435,18130,27.63,28.65,Diorite,2.0,3529
3530,48436,18130,28.65,29.8,Intermediate to Ultramafic Volcanics,5.0,3530
3531,48437,18130,29.8,31.04,Felsic to Intermediate Dykes,3.0,3531
3532,48438,18130,31.04,41.42,Intermediate to Ultramafic Volcanics,5.0,3532
3533,48439,18130,41.42,46.02,Felsic to Intermediate Dykes,3.0,3533
3534,48440,18130,46.02,56.69,Intermediate to Ultramafic Volcanics,5.0,3534
3535,48441,18131,0.0,14.99,Casing,1.0,3535
3536,48442,18131,14.99,23.71,Intermediate to Ultramafic Volcanics,5.0,3536
3537,48443,18131,23.71,44.98,Intermediate to Ultramafic Volcanics,5.0,3537
3538,48444,18132,0.0,10.39,Casing,1.0,3538
3539,48445,18132,10.39,12.61,Intermediate to Ultramafic Volcanics,5.0,3539
3540,48446,18132,12.61,21.35,Early Diorite,2.0,3540
3541,48447,18132,21.35,48.0,Intermediate to Ultramafic Volcanics,5.0,3541
3542,48448,18133,0.0,14.11,Casing,1.0,3542
3543,48449,18133,14.11,54.48,Intermediate to Ultramafic Volcanics,5.0,3543
3544,48450,18133,54.48,69.44,Early Diorite,2.0,3544
3545,48451,18133,69.44,86.59,Intermediate to Ultramafic Volcanics,5.0,3545
3546,48452,18133,86.59,92.99,Intermediate to Ultramafic Volcanics,5.0,3546
3547,48453,18134,0.0,15.08,Casing,1.0,3547
3548,48454,18134,15.08,41.45,Intermediate to Ultramafic Volcanics,5.0,3548
3549,48455,18134,41.45,42.18,Felsic to Intermediate Dykes,3.0,3549
3550,48456,18134,42.18,42.85,Intermediate to Ultramafic Volcanics,5.0,3550
3551,48457,18134,42.85,43.4,Diorite,2.0,3551
3552,48458,18134,43.4,50.58,Shear Zone,4.0,3552
3553,48459,18134,50.58,51.99,Diorite,2.0,3553
3554,48460,18134,51.99,63.0,Intermediate to Ultramafic Volcanics,5.0,3554
3555,48461,18135,0.0,7.89,Casing,1.0,3555
3556,48462,18135,7.89,17.46,Intermediate to Ultramafic Volcanics,5.0,3556
3557,48463,18135,17.46,25.7,Felsic to Intermediate Dykes,3.0,3557
3558,48464,18135,25.7,27.0,Intermediate to Ultramafic Volcanics,5.0,3558
3559,48465,18135,27.0,28.37,Felsic to Intermediate Dykes,3.0,3559
3560,48466,18135,28.37,39.31,Intermediate to Ultramafic Volcanics,5.0,3560
3561,48467,18135,39.31,44.04,Felsic to Intermediate Dykes,3.0,3561
3562,48468,18135,44.04,49.43,Intermediate to Ultramafic Volcanics,5.0,3562
3563,48469,18135,49.43,50.39,Early Diorite,2.0,3563
3564,48470,18135,50.39,58.06,Intermediate to Ultramafic Volcanics,5.0,3564
3565,48471,18135,58.06,59.22,Shear Zone,4.0,3565
3566,48472,18135,59.22,63.0,Intermediate to Ultramafic Volcanics,5.0,3566
3567,48473,18136,0.0,12.61,Casing,1.0,3567
3568,48474,18136,12.61,15.14,Felsic to Intermediate Dykes,3.0,3568
3569,48475,18136,15.14,22.18,Intermediate to Ultramafic Volcanics,5.0,3569
3570,48476,18136,22.18,25.25,Diorite,2.0,3570
3571,48477,18136,25.25,34.99,Intermediate to Ultramafic Volcanics,5.0,3571
3572,48478,18136,34.99,35.4,Diorite,2.0,3572
3573,48479,18136,35.4,40.46,Intermediate to Ultramafic Volcanics,5.0,3573
3574,48480,18136,40.46,41.36,Diorite,2.0,3574
3575,48481,18136,41.36,47.7,Intermediate to Ultramafic Volcanics,5.0,3575
3576,48482,18136,47.7,52.45,Felsic to Intermediate Dykes,3.0,3576
3577,48483,18136,52.45,63.7,Intermediate to Ultramafic Volcanics,5.0,3577
3578,48484,18137,0.0,8.62,Casing,1.0,3578
3579,48485,18137,8.62,14.02,Intermediate to Ultramafic Volcanics,5.0,3579
