,Unnamed: 0,BHID,FROM,TO,LITHO_DESC,lithoID,_id0
3053,47665,18051,52.66,54.01,Early Diorite,2.0,3053
3054,47666,18052,0.0,7.95,Casing,1.0,3054
3055,47667,18052,7.95,33.75,Intermediate to Ultramafic Volcanics,5.0,3055
3056,47668,18052,33.75,37.45,Early Diorite,2.0,3056
3057,47669,18052,37.45,54.01,Intermediate to Ultramafic Volcanics,5.0,3057
3058,47670,18053,0.0,6.94,Casing,1.0,3058
3059,47671,18053,6.94,8.26,Intermediate to Ultramafic Volcanics,5.0,3059
3060,47672,18053,8.26,8.91,Intermediate to Ultramafic Volcanics,5.0,3060
3061,47673,18053,8.91,16.47,Intermediate to Ultramafic Volcanics,5.0,3061
3062,47674,18053,16.47,23.34,Shear Zone,4.0,3062
3063,47675,18053,23.34,27.85,Intermediate to Ultramafic Volcanics,5.0,3063
3064,47676,18053,27.85,39.73,Early Diorite,2.0,3064
