,AT,AZ,BHID,DIP,Unnamed: 0
140,213.66,6.31,14342,71.0,9144.0
141,233.47,6.69,14342,70.0,9145.0
142,251.76,7.05,14342,70.0,9146.0
143,282.24,7.64,14342,70.0,9147.0
144,300.53,7.99,14342,70.0,9148.0
145,324.91,8.46,14342,70.0,9149.0
146,343.2,8.81,14342,71.0,9150.0
147,361.49,9.16,14342,70.0,9151.0
148,369.11,9.31,14342,70.0,9152.0
149,391.97,9.31,14342,70.0,9153.0
150,410.26,9.31,14342,73.0,9154.0
151,0.0,2.31,14343,50.0,9155.0
152,15.24,9.31,14343,49.0,9156.0
153,60.96,13.31,14343,40.0,9157.0
154,121.92,17.31,14343,31.0,9158.0
155,207.26,18.31,14343,26.0,9159.0
156,240.79,17.31,14343,23.0,9160.0
157,0.0,2.31,14344,65.0,9161.0
158,13.71,8.31,14344,63.0,9162.0
159,49.07,7.31,14344,63.0,9163.0
160,152.7,9.31,14344,63.0,9164.0
161,248.71,15.31,14344,63.0,9165.0
162,347.77,17.31,14344,62.0,9166.0
163,0.0,2.31,14345,50.0,9167.0
164,12.49,358.31,14345,49.0,9168.0
165,137.46,11.31,14345,49.0,9169.0
166,244.14,15.31,14345,46.0,9170.0
167,0.0,2.31,14400,75.0,9292.0
168,18.59,358.31,14400,73.0,9293.0
169,97.84,8.31,14400,73.0,9294.0
170,216.71,10.31,14400,73.0,9295.0
171,311.2,16.31,14400,74.0,9296.0
172,384.35,15.31,14400,75.0,9297.0
173,417.88,16.31,14400,74.0,9298.0
174,0.0,2.31,14972,76.0,10399.0
175,93.87,2.31,14972,76.0,10400.0
176,106.07,2.31,14972,75.0,10401.0
177,112.16,2.31,14972,76.0,10402.0
178,118.26,361.31,14972,77.0,10403.0
179,124.35,361.31,14972,76.0,10404.0
180,130.45,361.31,14972,77.0,10405.0
181,136.55,361.31,14972,77.0,10406.0
182,244.75,8.81,14972,77.0,10407.0
183,246.27,8.81,14972,77.0,10408.0
184,252.37,8.81,14972,78.0,10409.0
185,258.47,8.81,14972,78.5,10410.0
186,270.66,8.81,14972,78.5,10411.0
187,282.85,8.81,14972,78.0,10412.0
188,394.1,7.31,14972,78.5,10413.0
189,395.63,7.31,14972,77.5,10414.0
190,0.0,2.31,14973,74.0,10415.0
191,43.58,11.31,14973,73.0,10416.0
192,75.59,11.47,14973,74.0,10417.0
193,99.97,11.59,14973,73.5,10418.0
194,118.26,11.68,14973,72.5,10419.0
195,130.45,11.74,14973,72.0,10420.0
196,144.17,11.81,14973,72.5,10421.0
197,179.22,12.27,14973,72.0,10422.0
198,197.51,12.5,14973,72.5,10423.0
199,209.7,12.66,14973,72.5,10424.0
200,221.89,12.82,14973,72.0,10425.0
201,240.18,13.06,14973,72.5,10426.0
202,259.99,13.31,14973,72.0,10427.0
203,319.43,14.64,14973,72.5,10428.0
204,356.0,15.46,14973,73.0,10429.0
205,392.58,16.28,14973,72.0,10430.0
206,394.1,16.31,14973,72.0,10431.0
207,410.87,16.31,14973,73.0,10432.0
208,0.0,2.31,14974,66.0,10433.0
209,69.49,3.93,14974,66.0,10434.0
210,107.59,4.81,14974,65.0,10435.0
211,118.26,4.55,14974,65.0,10436.0
212,130.45,4.24,14974,65.0,10437.0
213,191.41,2.72,14974,64.0,10438.0
214,215.79,362.11,14974,63.5,10439.0
215,240.18,361.5,14974,63.0,10440.0
216,264.56,360.89,14974,63.5,10441.0
217,386.48,357.84,14974,62.5,10442.0
218,427.63,356.81,14974,61.5,10443.0
219,429.15,356.81,14974,62.0,10444.0
220,0.0,2.31,14975,60.0,10445.0
221,75.59,359.4,14975,60.0,10446.0
222,87.78,358.93,14975,59.5,10447.0
223,136.55,357.05,14975,59.0,10448.0
224,142.64,356.81,14975,58.5,10449.0
225,160.93,357.25,14975,57.0,10450.0
226,185.31,357.83,14975,56.0,10451.0
227,226.46,358.81,14975,54.0,10452.0
228,240.18,359.01,14975,55.0,10453.0
229,282.85,359.65,14975,53.5,10454.0
230,325.52,360.28,14975,53.0,10455.0
231,392.58,361.27,14975,52.0,10456.0
232,410.87,361.54,14975,51.5,10457.0
233,423.06,361.72,14975,51.0,10458.0
234,429.15,361.81,14975,50.0,10459.0
235,0.0,2.31,14976,70.0,10460.0
236,26.82,2.31,14976,70.0,10461.0
237,51.2,2.31,14976,69.0,10462.0
238,69.49,2.31,14976,68.0,10463.0
239,93.87,3.31,14976,67.5,10464.0
240,203.6,3.9,14976,66.0,10465.0
241,234.08,4.06,14976,65.0,10466.0
242,281.33,4.31,14976,64.5,10467.0
243,386.48,7.02,14976,64.0,10468.0
244,397.76,7.81,14976,63.0,10469.0
245,0.0,2.31,14977,75.0,10470.0
246,87.78,360.53,14977,76.0,10471.0
247,122.83,359.81,14977,75.5,10472.0
248,173.12,360.75,14977,75.0,10473.0
249,240.18,361.99,14977,75.0,10474.0
250,284.37,2.81,14977,76.0,10475.0
251,394.1,359.81,14977,76.0,10476.0
252,395.63,359.36,14977,76.0,10477.0
253,395.78,359.31,14977,76.0,10478.0
254,0.0,182.31,14978,65.0,10479.0
255,14.63,182.31,14978,65.0,10480.0
256,39.01,182.31,14978,64.0,10481.0
257,57.3,182.31,14978,63.0,10482.0
258,75.59,182.31,14978,62.0,10483.0
259,130.45,182.31,14978,60.5,10484.0
260,173.12,182.31,14978,60.0,10485.0
261,191.41,182.31,14978,59.0,10486.0
262,270.66,182.31,14978,58.0,10487.0
263,313.33,182.31,14978,57.0,10488.0
264,343.81,182.31,14978,55.0,10489.0
265,368.19,182.31,14978,54.0,10490.0
266,0.0,353.31,15,36.0,10522.0
267,30.48,353.31,15,37.0,10523.0
268,60.96,353.31,15,-35.0,10524.0
269,91.44,353.31,15,-31.0,10525.0
270,0.0,182.31,15025,49.0,10566.0
271,14.63,182.31,15025,49.0,10567.0
272,39.01,182.31,15025,48.0,10568.0
273,142.64,182.31,15025,47.0,10569.0
274,185.31,182.31,15025,46.0,10570.0
275,0.0,182.31,15026,50.0,10571.0
276,112.16,191.81,15026,50.0,10572.0
277,136.55,191.81,15026,49.0,10573.0
278,185.31,191.81,15026,48.0,10574.0
279,231.03,195.31,15026,47.0,10575.0
280,264.56,195.31,15026,46.0,10576.0
281,0.0,361.96,15273,60.0,11511.0
282,18.28,360.81,15273,59.0,11512.0
283,36.57,360.51,15273,58.0,11513.0
284,103.63,359.72,15273,59.5,11514.0
285,149.35,359.31,15273,53.0,11515.0
286,225.55,4.21,15273,52.5,11516.0
287,304.8,362.11,15273,51.5,11517.0
288,335.28,360.64,15273,52.0,11518.0
289,341.37,360.51,15273,52.0,11519.0
290,344.42,360.44,15273,51.0,11520.0
291,350.52,360.31,15273,51.0,11521.0
292,356.61,360.17,15273,51.0,11522.0
293,362.71,360.04,15273,51.0,11523.0
294,368.8,359.9,15273,50.0,11524.0
295,374.9,359.77,15273,50.0,11525.0
296,381.0,359.63,15273,50.0,11526.0
297,387.09,359.5,15273,50.0,11527.0
298,395.63,359.91,15273,49.0,11528.0
299,0.0,361.61,15274,44.0,11529.0
300,42.67,4.61,15274,44.5,11530.0
301,158.49,3.31,15274,38.5,11531.0
302,182.88,361.31,15274,45.0,11532.0
303,225.55,361.31,15274,38.5,11533.0
304,277.36,3.91,15274,34.5,11534.0
305,0.0,182.53,15275,65.0,11535.0
306,15.24,182.97,15275,66.0,11536.0
307,21.33,183.24,15275,66.0,11537.0
308,27.43,183.5,15275,65.0,11538.0
309,33.52,183.76,15275,66.0,11539.0
