,Unnamed: 0,BHID,FROM,TO,LITHO_DESC
2643,46956,17959,40.14,60.8,Felsic to Intermediate Dykes
2644,46957,17959,60.8,71.99,Shear Zone
2645,46980,17964,0.0,7.46,Casing
2646,46981,17964,7.46,50.99,Intermediate to Ultramafic Volcanics
2647,46982,17965,0.0,12.43,Casing
2648,46983,17965,12.43,26.57,Intermediate to Ultramafic Volcanics
2649,46984,17965,26.57,50.5,Early Diorite
2650,47029,17974,0.0,4.32,Casing
2651,47030,17974,4.32,25.2,Indifferenciated Tuffs
2652,47031,17974,25.2,35.05,Intermediate to Ultramafic Volcanics
2653,47032,17974,35.05,36.17,Indifferenciated Tuffs
2654,47033,17974,36.17,37.12,Intermediate to Ultramafic Volcanics
2655,47034,17974,37.12,38.37,Indifferenciated Tuffs
2656,47035,17974,38.37,54.01,Intermediate to Ultramafic Volcanics
2657,47036,17975,0.0,2.28,Casing
2658,47037,17975,2.28,19.05,Intermediate to Ultramafic Volcanics
2659,47038,17975,19.05,20.42,Early Diorite
2660,47039,17975,20.42,30.93,Intermediate to Ultramafic Volcanics
2661,47040,17975,30.93,42.45,Early Diorite
2662,47041,17975,42.45,43.34,Intermediate to Ultramafic Volcanics
2663,47042,17975,43.34,43.64,Intermediate to Ultramafic Volcanics
2664,47043,17975,43.64,44.01,Intermediate to Ultramafic Volcanics
2665,47044,17975,44.01,44.31,Early Diorite
2666,47045,17975,44.31,53.94,Intermediate to Ultramafic Volcanics
2667,47046,17975,53.94,60.01,Early Diorite
2668,47047,17976,0.0,6.09,Casing
2669,47048,17976,6.09,7.25,Intermediate to Ultramafic Volcanics
2670,47049,17976,7.25,12.86,Felsic to Intermediate Dykes
2671,47050,17976,12.86,54.01,Intermediate to Ultramafic Volcanics
2672,47051,17977,0.0,3.5,Casing
2673,47052,17977,3.5,46.32,Intermediate to Ultramafic Volcanics
2674,47053,17977,46.32,48.46,Early Diorite
2675,47054,17977,48.46,60.01,Intermediate to Ultramafic Volcanics
2676,47055,17978,0.0,6.24,Casing
2677,47056,17978,6.24,21.48,Intermediate to Ultramafic Volcanics
2678,47057,17978,21.48,24.9,Early Diorite
2679,47058,17978,24.9,42.79,Intermediate to Ultramafic Volcanics
2680,47059,17978,42.79,60.01,Early Diorite
2681,47060,17979,0.0,6.46,Casing
2682,47061,17979,6.46,22.7,Intermediate to Ultramafic Volcanics
2683,47062,17979,22.7,24.23,Early Diorite
2684,47063,17979,24.23,36.08,Early Diorite
2685,47064,17979,36.08,54.31,Early Diorite
2686,47065,17979,54.31,59.8,Intermediate to Ultramafic Volcanics
2687,47066,17979,59.8,60.01,Indifferenciated Tuffs
2688,47071,17980,0.0,7.77,Casing
2689,47072,17980,7.77,11.58,Indifferenciated Tuffs
2690,47073,17980,11.58,14.93,Intermediate to Ultramafic Volcanics
2691,47074,17980,14.93,23.71,Intermediate to Ultramafic Volcanics
2692,47075,17980,23.71,40.23,Indifferenciated Tuffs
2693,47076,17980,40.23,46.14,Intermediate to Ultramafic Volcanics
2694,47077,17980,46.14,48.34,Indifferenciated Tuffs
2695,47078,17980,48.34,53.0,Early Diorite
2696,47079,17980,53.0,59.74,Indifferenciated Tuffs
2697,47080,17980,59.74,60.01,Early Diorite
2698,47081,17981,0.0,4.87,Casing
2699,47082,17981,4.87,42.0,Early Diorite
2700,47083,17982,0.0,10.3,Casing
2701,47084,17982,10.3,48.0,Intermediate to Ultramafic Volcanics
2702,47085,17983,0.0,2.46,Casing
2703,47086,17983,2.46,6.94,Intermediate to Ultramafic Volcanics
2704,47087,17983,6.94,19.81,Early Diorite
2705,47088,17983,19.81,27.0,Diorite
2706,47089,17983,27.0,48.0,Intermediate to Ultramafic Volcanics
2707,47090,17984,0.0,7.84,Casing
2708,47091,17984,7.84,12.39,Intermediate to Ultramafic Volcanics
2709,47092,17984,12.39,17.03,Intermediate to Ultramafic Volcanics
2710,47093,17984,17.03,27.05,Early Diorite
2711,47094,17984,27.05,54.01,Intermediate to Ultramafic Volcanics
2712,47095,17985,0.0,6.12,Casing
2713,47096,17985,6.12,16.9,Early Diorite
2714,47097,17985,16.9,24.23,Felsic to Intermediate Dykes
2715,47098,17985,24.23,36.88,Early Diorite
2716,47099,17985,36.88,38.03,Intermediate to Ultramafic Volcanics
2717,47100,17985,38.03,40.35,Early Diorite
2718,47101,17985,40.35,53.47,Intermediate to Ultramafic Volcanics
2719,47102,17985,53.47,56.93,Early Diorite
2720,47103,17985,56.93,58.14,Intermediate to Ultramafic Volcanics
2721,47104,17985,58.14,60.01,Early Diorite
2722,47105,17986,0.0,5.28,Casing
2723,47106,17986,5.28,48.0,Early Diorite
2724,47107,17987,0.0,8.93,Casing
2725,47108,17987,8.93,27.24,Intermediate to Ultramafic Volcanics
2726,47109,17987,27.24,28.89,Early Diorite
2727,47110,17987,28.89,60.01,Intermediate to Ultramafic Volcanics
2728,47111,17988,0.0,9.75,Casing
2729,47112,17988,9.75,24.87,Early Diorite
2730,47113,17988,24.87,48.28,Intermediate to Ultramafic Volcanics
2731,47114,17988,48.28,60.01,Shear Zone
2732,47115,17989,0.0,19.2,Casing
2733,47116,17989,19.2,38.86,Intermediate to Ultramafic Volcanics
2734,47117,17989,38.86,60.01,Intermediate to Ultramafic Volcanics
2735,47129,17992,0.0,12.69,Casing
2736,47130,17992,12.69,32.2,Diabase
2737,47131,17992,32.2,36.33,Intermediate to Ultramafic Volcanics
2738,47132,17992,36.33,44.07,Felsic to Intermediate Dykes
2739,47133,17992,44.07,44.98,Intermediate to Ultramafic Volcanics
2740,47134,17993,0.0,12.1,Casing
2741,47135,17993,12.1,16.0,Intermediate to Ultramafic Volcanics
2742,47136,17993,16.0,24.5,Early Diorite
2743,47137,17993,24.5,34.35,Diabase
2744,47138,17993,34.35,48.0,Early Diorite
2745,47139,17994,0.0,13.71,Casing
2746,47140,17994,13.71,23.46,Felsic to Intermediate Dykes
2747,47141,17994,23.46,27.49,Intermediate to Ultramafic Volcanics
2748,47142,17995,0.0,22.55,Casing
2749,47143,17995,22.55,40.75,Intermediate to Ultramafic Volcanics
2750,47144,17995,40.75,42.8,Felsic to Intermediate Dykes
2751,47145,17995,42.8,52.39,Intermediate to Ultramafic Volcanics
2752,47146,17995,52.39,60.01,Early Diorite
2753,47147,17995,60.01,62.39,Felsic to Intermediate Dykes
2754,47148,17995,62.39,75.01,Early Diorite
2755,47149,17996,0.0,12.42,Casing
2756,47150,17996,12.42,16.56,Intermediate to Ultramafic Volcanics
2757,47151,17996,16.56,19.64,Felsic to Intermediate Dykes
2758,47152,17996,19.64,26.06,Intermediate to Ultramafic Volcanics
2759,47153,17996,26.06,27.81,Felsic to Intermediate Dykes
2760,47154,17996,27.81,39.16,Intermediate to Ultramafic Volcanics
2761,47155,17996,39.16,39.59,Felsic to Intermediate Dykes
2762,47156,17996,39.59,42.1,Intermediate to Ultramafic Volcanics
2763,47157,17996,42.1,54.51,Early Diorite
2764,47158,17996,54.51,63.91,Intermediate to Ultramafic Volcanics
2765,47159,17996,63.91,65.63,Felsic to Intermediate Dykes
2766,47160,17996,65.63,71.53,Intermediate to Ultramafic Volcanics
2767,47161,17996,71.53,73.22,Felsic to Intermediate Dykes
2768,47162,17996,73.22,74.49,Intermediate to Ultramafic Volcanics
2769,47163,17997,0.0,5.18,Casing
2770,47164,17997,5.18,15.2,Intermediate to Ultramafic Volcanics
2771,47165,17997,15.2,16.85,Intermediate to Ultramafic Volcanics
2772,47166,17997,16.85,18.05,Intermediate to Ultramafic Volcanics
2773,47167,17997,18.05,20.16,Intermediate to Ultramafic Volcanics
2774,47168,17997,20.16,32.62,Intermediate to Ultramafic Volcanics
2775,47169,17997,32.62,71.96,Felsic to Intermediate Dykes
2776,47196,18,0.0,4.57,Casing
2777,47197,18,4.57,6.0,Felsic to Intermediate Dykes
2778,47198,18,6.0,44.34,Intermediate to Ultramafic Volcanics
2779,47199,18,44.34,53.34,Early Diorite
2780,47200,18,53.34,62.72,Felsic to Intermediate Dykes
2781,47201,18,62.72,64.31,Early Diorite
2782,47202,18,64.31,67.29,Diorite
2783,47203,18,67.29,71.62,Early Diorite
2784,47204,18,71.62,74.37,Felsic to Intermediate Dykes
2785,47205,18,74.37,110.33,Intermediate to Ultramafic Volcanics
2786,47206,18,110.33,110.64,Early Diorite
2787,47207,18,110.64,115.97,Intermediate to Ultramafic Volcanics
2788,47208,18,115.97,116.73,Early Diorite
2789,47209,18,116.73,128.32,Shear Zone
2790,47210,18,128.32,130.45,Early Diorite
2791,47211,18,130.45,136.39,Intermediate to Ultramafic Volcanics
2792,47212,18,136.39,140.26,Early Diorite
2793,47213,18,140.26,151.02,Intermediate to Ultramafic Volcanics
2794,47277,18007,0.0,18.34,Casing
2795,47278,18007,18.34,53.94,Early Diorite
2796,47279,18007,53.94,62.81,Intermediate to Ultramafic Volcanics
2797,47280,18007,62.81,72.25,Early Diorite
2798,47281,18007,72.25,77.17,Intermediate to Ultramafic Volcanics
2799,47282,18007,77.17,80.13,Felsic to Intermediate Dykes
2800,47283,18007,80.13,83.88,Intermediate to Ultramafic Volcanics
2801,47284,18007,83.88,84.55,Felsic to Intermediate Dykes
2802,47285,18007,84.55,85.86,Intermediate to Ultramafic Volcanics
2803,47286,18007,85.86,90.0,Early Diorite
2804,47287,18008,0.0,20.6,Casing
2805,47288,18008,20.6,52.98,Intermediate to Ultramafic Volcanics
2806,47289,18008,52.98,54.58,Felsic to Intermediate Dykes
2807,47290,18008,54.58,59.28,Intermediate to Ultramafic Volcanics
2808,47291,18008,59.28,60.44,Intermediate to Ultramafic Volcanics
2809,47292,18008,60.44,62.34,Early Diorite
2810,47293,18008,62.34,63.79,Intermediate to Ultramafic Volcanics
2811,47294,18008,63.79,69.12,Intermediate to Ultramafic Volcanics
2812,47295,18008,69.12,76.2,Intermediate to Ultramafic Volcanics
2813,47296,18008,76.2,77.7,Felsic to Intermediate Dykes
2814,47297,18008,77.7,79.75,Felsic to Intermediate Dykes
2815,47298,18008,79.75,90.52,Early Diorite
2816,47299,18008,90.52,92.47,Intermediate to Ultramafic Volcanics
2817,47300,18008,92.47,93.04,Felsic to Intermediate Dykes
2818,47301,18008,93.04,96.01,Intermediate to Ultramafic Volcanics
2819,47302,18009,0.0,17.28,Casing
2820,47303,18009,17.28,17.64,Intermediate to Ultramafic Volcanics
2821,47304,18009,17.64,20.02,Felsic to Intermediate Dykes
2822,47305,18009,20.02,24.23,Intermediate to Ultramafic Volcanics
2823,47306,18009,24.23,25.69,Felsic to Intermediate Dykes
2824,47307,18009,25.69,27.09,Intermediate to Ultramafic Volcanics
2825,47308,18009,27.09,34.8,Diorite
2826,47309,18009,34.8,37.01,Intermediate to Ultramafic Volcanics
2827,47310,18009,37.01,39.68,Felsic to Intermediate Dykes
2828,47311,18009,39.68,43.43,Intermediate to Ultramafic Volcanics
2829,47312,18009,43.43,44.34,Felsic to Intermediate Dykes
2830,47313,18009,44.34,45.96,Intermediate to Ultramafic Volcanics
2831,47314,18009,45.96,52.07,Felsic to Intermediate Dykes
2832,47315,18009,52.07,72.46,Intermediate to Ultramafic Volcanics
2833,47316,18009,72.46,77.28,Felsic to Intermediate Dykes
2834,47317,18009,77.28,78.57,Intermediate to Ultramafic Volcanics
2835,47318,18009,78.57,79.04,Felsic to Intermediate Dykes
2836,47319,18009,79.04,86.02,Early Diorite
2837,47320,18009,86.02,88.39,Intermediate to Ultramafic Volcanics
2838,47326,18010,0.0,22.03,Casing
2839,47327,18010,22.03,23.01,Intermediate to Ultramafic Volcanics
2840,47328,18010,23.01,45.17,Intermediate to Ultramafic Volcanics
2841,47329,18010,45.17,49.59,Intermediate to Ultramafic Volcanics
2842,47330,18010,49.59,50.38,Intermediate to Ultramafic Volcanics
2843,47331,18010,50.38,81.57,Intermediate to Ultramafic Volcanics
2844,47332,18010,81.57,84.84,Felsic to Intermediate Dykes
2845,47333,18010,84.84,90.0,Intermediate to Ultramafic Volcanics
2846,47334,18011,0.0,18.56,Casing
2847,47335,18011,18.56,26.74,Intermediate to Ultramafic Volcanics
2848,47336,18011,26.74,31.45,Felsic to Intermediate Dykes
2849,47337,18011,31.45,32.03,Shear Zone
2850,47338,18011,32.03,34.99,Shear Zone
2851,47339,18011,34.99,36.05,Shear Zone
2852,47340,18011,36.05,40.87,Intermediate to Ultramafic Volcanics
2853,47341,18011,40.87,47.6,Intermediate to Ultramafic Volcanics
2854,47342,18011,47.6,50.17,Felsic to Intermediate Dykes
2855,47343,18011,50.17,52.65,Intermediate to Ultramafic Volcanics
2856,47344,18011,52.65,65.65,Intermediate to Ultramafic Volcanics
2857,47345,18011,65.65,68.61,Intermediate to Ultramafic Volcanics
2858,47346,18011,68.61,69.52,Felsic to Intermediate Dykes
2859,47347,18011,69.52,71.29,Intermediate to Ultramafic Volcanics
2860,47348,18011,71.29,79.99,Intermediate to Ultramafic Volcanics
2861,47349,18011,79.99,80.16,Intermediate to Ultramafic Volcanics
2862,47350,18011,80.16,81.13,Felsic to Intermediate Dykes
2863,47351,18011,81.13,83.27,Intermediate to Ultramafic Volcanics
2864,47352,18011,83.27,90.0,Intermediate to Ultramafic Volcanics
2865,47353,18012,0.0,16.36,Casing
2866,47354,18012,16.36,16.7,Intermediate to Ultramafic Volcanics
2867,47355,18012,16.7,22.75,Felsic to Intermediate Dykes
2868,47356,18012,22.75,24.39,Intermediate to Ultramafic Volcanics
2869,47357,18012,24.39,30.63,Diorite
2870,47358,18012,30.63,34.09,Intermediate to Ultramafic Volcanics
2871,47359,18012,34.09,36.89,Felsic to Intermediate Dykes
2872,47360,18012,36.89,44.08,Intermediate to Ultramafic Volcanics
2873,47361,18012,44.08,68.54,Intermediate to Ultramafic Volcanics
2874,47362,18012,68.54,73.19,Felsic to Intermediate Dykes
2875,47363,18012,73.19,73.74,Intermediate to Ultramafic Volcanics
2876,47364,18012,73.74,73.89,Felsic to Intermediate Dykes
2877,47365,18012,73.89,76.5,Intermediate to Ultramafic Volcanics
2878,47366,18012,76.5,77.69,Felsic to Intermediate Dykes
2879,47367,18012,77.69,78.76,Intermediate to Ultramafic Volcanics
2880,47368,18012,78.76,79.27,Felsic to Intermediate Dykes
2881,47369,18012,79.27,89.23,Intermediate to Ultramafic Volcanics
2882,47370,18012,89.23,89.91,Felsic to Intermediate Dykes
2883,47371,18013,0.0,22.25,Casing
2884,47372,18013,22.25,27.61,Intermediate to Ultramafic Volcanics
2885,47373,18013,27.61,29.77,Felsic to Intermediate Dykes
2886,47374,18013,29.77,45.14,Intermediate to Ultramafic Volcanics
2887,47375,18013,45.14,45.82,Felsic to Intermediate Dykes
2888,47376,18013,45.82,66.33,Intermediate to Ultramafic Volcanics
2889,47377,18013,66.33,74.03,Intermediate to Ultramafic Volcanics
2890,47378,18013,74.03,75.22,Felsic to Intermediate Dykes
2891,47379,18013,75.22,77.86,Intermediate to Ultramafic Volcanics
2892,47380,18013,77.86,79.04,Felsic to Intermediate Dykes
2893,47381,18013,79.04,90.0,Intermediate to Ultramafic Volcanics
2894,47382,18014,0.0,19.5,Casing
2895,47383,18014,19.5,27.52,Intermediate to Ultramafic Volcanics
2896,47384,18014,27.52,27.96,Felsic to Intermediate Dykes
2897,47385,18014,27.96,28.46,Intermediate to Ultramafic Volcanics
2898,47386,18014,28.46,29.3,Felsic to Intermediate Dykes
2899,47387,18014,29.3,32.43,Intermediate to Ultramafic Volcanics
2900,47388,18014,32.43,33.31,Felsic to Intermediate Dykes
2901,47389,18014,33.31,42.39,Intermediate to Ultramafic Volcanics
2902,47390,18014,42.39,44.24,Shear Zone
2903,47391,18014,44.24,46.16,Shear Zone
